outcome_id,parent_outcome_id,moderator_variable,moderator_value,arm_id,study_id,cohort_id,outcome_category,outcome_subtype,timepoint,timepoint_days_numeric,is_primary_timepoint,is_primary_definition,denominator_n,event_count,proportion_reported_pct,cumulative_incidence_pct,ci_lower_pct,ci_upper_pct,ci_method,competing_risks_handled,hr_value,hr_ci_lower,hr_ci_upper,hr_comparator_arm_id,hr_adjusted,incidence_rate_value,incidence_rate_unit,person_time_total,person_time_unit,median_time_to_event_days,ascertainment_method,screening_frequency_per_week,definition_text,data_source,data_quality_flag,extraction_notes
170,21,cmv_serostatus_DR,R_positive,3,4,1001,CMV,any_reactivation,D+100,100,Y,Y,563,NR,NR,51,46,57,Gray_CIF,Y_CIF,49.8,13.7,181.2,5,adjusted,NR,NR,NR,NR,NR,NR,NR,"CMV DNAemia +/- organ disease in R+ HaploCy subgroup; HR vs D-/R- SibCNI reference, adjusted multivariable",table,direct,"R+ HaploCy subgroup n=551 in multivariable model; CI n=563. HR adjusted, 99% CI."
171,22,cmv_serostatus_DR,R_positive,4,4,1001,CMV,any_reactivation,D+100,100,Y,Y,284,NR,NR,48,41,56,Gray_CIF,Y_CIF,47.8,12.9,177,5,adjusted,NR,NR,NR,NR,NR,NR,NR,R+ SibCy subgroup; HR vs D-/R- SibCNI reference,table,direct,R+ SibCy subgroup.
172,23,cmv_serostatus_DR,R_positive,5,4,1001,CMV,any_reactivation,D+100,100,Y,Y,1086,NR,NR,29,25,32,Gray_CIF,Y_CIF,24,7,82.2,5,adjusted,NR,NR,NR,NR,NR,NR,NR,R+ SibCNI subgroup; HR vs D-/R- SibCNI reference,table,direct,R+ SibCNI vs D-/R- SibCNI reference; HR is intra-arm risk gradient by serostatus.
173,21,cmv_serostatus_DR,D_pos_R_neg,3,4,1001,CMV,any_reactivation,D+100,100,Y,Y,54,NR,NR,21,8,37,Gray_CIF,Y_CIF,17.7,3.9,80.3,5,adjusted,NR,NR,NR,NR,NR,NR,NR,D+/R- HaploCy subgroup; HR vs D-/R- SibCNI reference,table,direct,D+/R- HaploCy subgroup (multivariable n=48).
174,22,cmv_serostatus_DR,D_pos_R_neg,4,4,1001,CMV,any_reactivation,D+100,100,Y,Y,36,NR,NR,12,2,30,Gray_CIF,Y_CIF,9.5,2,44.2,5,adjusted,NR,NR,NR,NR,NR,NR,NR,D+/R- SibCy subgroup,table,direct,D+/R- SibCy.
175,23,cmv_serostatus_DR,D_pos_R_neg,5,4,1001,CMV,any_reactivation,D+100,100,Y,Y,163,NR,NR,11,6,18,Gray_CIF,Y_CIF,7.8,2.2,27.6,5,adjusted,NR,NR,NR,NR,NR,NR,NR,D+/R- SibCNI subgroup,table,direct,D+/R- SibCNI.
176,21,cmv_serostatus_DR,D_neg_R_neg,3,4,1001,CMV,any_reactivation,D+100,100,Y,Y,131,NR,NR,2.4,0.2,7.1,Gray_CIF,Y_CIF,1.5,0.2,8.9,5,adjusted,NR,NR,NR,NR,NR,NR,NR,D-/R- HaploCy subgroup,table,direct,D-/R- HaploCy.
177,22,cmv_serostatus_DR,D_neg_R_neg,4,4,1001,CMV,any_reactivation,D+100,100,Y,Y,79,NR,NR,2.6,0,9.199999999999999,Gray_CIF,Y_CIF,1.8,0.2,12.9,5,adjusted,NR,NR,NR,NR,NR,NR,NR,D-/R- SibCy subgroup,table,direct,D-/R- SibCy.
178,23,cmv_serostatus_DR,D_neg_R_neg,5,4,1001,CMV,any_reactivation,D+100,100,Y,Y,327,NR,NR,1.3,0.2,3.4,Gray_CIF,Y_CIF,1,NA,NA,5,adjusted,NR,NR,NR,NR,NR,NR,NR,D-/R- SibCNI reference subgroup,table,direct,Reference cohort for serostatus multivariable model.
179,136,donor_type,MSD,19,9,1003,BSI,any_pathogen,D+30,30,Y,Y,13,NR,46.2,46.2,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,D+30 CIF of BSI in MSD subgroup of PTCy arm.,narrative_text,direct,From narrative text and Supplementary Figure S1 reference. Overall P=0.088 across donor types.
