study_id,cohort_id,first_author,pub_year,journal,doi,pmid,paperpile_filename,title,country,region,study_design,single_or_multicenter,n_centers,enrollment_start_year,enrollment_end_year,era_category,follow_up_median_months,follow_up_min_months,follow_up_max_months,primary_for_cohort,cohort_overlap_status,overlap_with_study_ids,language,full_text_obtainable,author_contact_attempted,author_response_received,extractor_initials,verifier_initials,extraction_date,verification_date,extraction_notes
2,1002,Bolanos-Meade J,2023,New England Journal of Medicine,10.1056/NEJMoa2215943,NR,Bolaños-Meade et al. 2023 - Post-Transplantation Cyclophosphamide-Based Graft-versus-Host Disease Prophylaxis.pdf,Post-Transplantation Cyclophosphamide-Based Graft-versus-Host Disease Prophylaxis,United States,NA,RCT,multi,37,2019,2021,post_2018,12,0.2,12,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Phase 3 RCT (BMT CTN 1703). NCT03959241. Primary endpoint 1-yr GRFS. Enrollment Jun 25 2019 - Jun 18 2021. 431 randomized (214 exp + 217 std); 420 received transplant (208 exp + 212 std). Median follow-up 12 mo for survivors. Supplementary appendix referenced extensively (S1-S16) for details on conditioning regimens used, infections, GVHD organ involvement, chimerism - those details may be appendix-only and not extractable from main PDF."
4,1001,Goldsmith SR,2021,Blood,10.1182/blood.2020009362,NR,Goldsmith et al. 2021 - Posttransplant Cyclophosphamide Is Associated with Increased Cytomegalovirus Infection - A CIBMTR Analysis.pdf,Posttransplant cyclophosphamide is associated with increased cytomegalovirus infection: a CIBMTR analysis,USA,NA,registry,registry,100,2012,2017,mixed,NR,NR,NR,partial,overlap_superset_of,8,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"CIBMTR comprehensive report form analysis. primary_for_cohort=partial — primary for CMV outcomes (per protocol override, IFI outcomes are assigned to Papanicolaou 2024, study_id 8). Follow-up reported only as median follow-up of survivors per arm (HaploCy 25 mo, SibCy 25 mo, SibCNI 37 mo); used per-arm fields. n_centers = 100 (HaploCy/SibCNI cohorts each reported across 100 centers; SibCy across 77). Region coded NA (USA-predominant CIBMTR analysis); paper does not specify non-US sites."
5,1004,Khimani F,2021,Transplantation and Cellular Therapy,10.1016/j.jtct.2021.07.023,NR,Khimani F et al. 2021 - Increased Infections and Delayed CD4(+) T Cell b ... Compared to Conventional GVHD Prophylaxis in Allogeneic Transpla[...].pdf,Increased Infections and Delayed CD4+ T Cell but Faster B Cell Immune Reconstitution after Post-Transplantation Cyclophosphamide Compared to Conventional GVHD Prophylaxis in Allogeneic Transplantation,United States,NA,retrospective_cohort,single,1,2012,2018,mixed,NR,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-center Moffitt retrospective cohort with 4 GVHD prophylaxis groups: haplo-PTCy (n=75), MUD-PTCy (n=38), Tac/MTX (n=89), Tac/Sir (n=381). Paper does not focus on GVHD outcomes; no aGVHD/cGVHD/SR-GVHD rates extractable. Infection density reported as events per 1000 person-days over 0-365, 0-100, and 101-365 day intervals (Poisson submodel path). The paper reports bacterial, viral, and fungal infection densities but does NOT specifically report bloodstream infections (BSI); 'bacterial infections' is used as proxy for BSI category with this caveat flagged. CMV/BK/HHV6/EBV reported as proportional incidence within entire study cohort (Table 4). NRM, OS, RFS, relapse reported at 2-year as KM/CIF percentages without arm-level event counts (Figures 3-5). Immune reconstitution flow cytometry data (CD4, CD8, NK, CD19) excluded as not in extraction schema."
6,1005,Meyer T,2025,Bone Marrow Transplantation,10.1038/s41409-024-02474-1,NR,"Meyer T et al. 2025 - Immunological reconstitution and infections after ... plantation cyclophosphamide, ATLG and non-ATLG based GvHD prophylaxis.pdf","Immunological reconstitution and infections after alloHCT - a comparison between post-transplantation cyclophosphamide, ATLG and non-ATLG based GvHD prophylaxis",Germany,EU,retrospective_cohort,single,1,2015,2022,mixed,NR,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-center Freiburg study enrolling 2015-2022, spans the letermovir approval era (2017). Authors explicitly state that more PTCY patients likely received letermovir than MM/ATLG patients due to centre practice switch over time. Mold-active antifungal prophylaxis details NR. Cohort split into 4 groups, of which 3 are relevant comparators: MRD/NoATLG (no ATLG, no PTCy = non-ATLG comparator), MUD/ATLG Grafalon 30 mg/kg (high-dose rabbit ATLG comparator), MM/ATLG Grafalon 30 mg/kg (high-dose rabbit ATLG, mismatched). Follow-up duration not explicitly stated as median; KM curves shown out to ~500-550 days."
7,1007,Moiseev IS,2016,Biology of Blood and Marrow Transplantation,10.1016/j.bbmt.2016.03.004,NR,"Moiseev IS et al. 2016 - Graft-versus-Host Disease Prophylaxis in Unrelated Donor Bone Marrow Transplantation - Calcineurin Inhibitors, Methotrexate, vs Post-Transplantation Cyclophosphamide, Tacrolimus, and Mycophenolate Mofetil.pdf","Graft-versus-Host Disease Prophylaxis in Unrelated Peripheral Blood Stem Cell Transplantation with Post-Transplantation Cyclophosphamide, Tacrolimus, and Mycophenolate Mofetil",Russia,EU,prospective_cohort,single,1,2010,2015,pre_2018,12,1,64,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"IMPORTANT DISCREPANCY WITH PROMPT: (1) Subagent prompt described this paper as an RCT with BM graft; the actual paper is a single-arm prospective trial (NCT02294552, PTCy arm, n=86) compared against a HISTORICAL control of 125 consecutive ATG patients (2010-2013) - NOT a randomized trial. Used study_design='prospective_cohort' and rob_tool='ROBINS-I' to reflect actual design. (2) Graft source is PBSC (not BM) - the abstract and methods explicitly state 'unrelated PBSC transplantation'. Set graft_predominant='PBSC'. Follow-up medians differ between arms: PTCy 12 mo (4-30), ATG 17 mo (1-64); reported the wider range as min/max."
8,1001,Papanicolaou GA,2024,Transplantation and Cellular Therapy,10.1016/j.jtct.2023.09.017,NR,Papanicolaou GA et al. 2024 - Incidence and Impact of Fungal Infections ... aploidentical Hematopoietic Cell Transplantation - A Center for [...].pdf,Incidence and Impact of Fungal Infections in Post-Transplantation Cyclophosphamide-Based Graft-versus-Host Disease Prophylaxis and Haploidentical Hematopoietic Cell Transplantation: A Center for International Blood and Marrow Transplant Research Analysis,USA,NA,registry,registry,NR,2012,2017,mixed,NR,2,75,partial,overlap_subset_of,4,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Same CIBMTR cohort as Goldsmith 2021 (cohort_id 1001). N=757 HaploCy, 403 SibCy, 1605 SibCNI. Primary publication for IFI outcomes (D+180). Follow-up median per cohort: HaploCy 25mo, SibCy 25mo, SibCNI 37mo (range 2-75)."
9,1003,Salas,2022,Transplantation and Cellular Therapy,10.1016/j.jtct.2022.09.001,NR,Salas MQ et al. 2022 - Bacterial Bloodstream Infections in Patients Undergoing Allogeneic Hematopoietic Cell Transplantation With Post-Transplantation Cyclophosphamide.pdf,Bacterial Bloodstream Infections in Patients Undergoing Allogeneic Hematopoietic Cell Transplantation With Post-Transplantation Cyclophosphamide,Spain,EU,retrospective_cohort,single,1,2014,2021,mixed,25.9,NR,NR,partial,partial_overlap,Other Salas Barcelona publications (not in this 10-paper pilot),English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-center Hospital Clinic Barcelona retrospective cohort. Primary for BSI outcomes only (primary_for_cohort=partial). Median follow-up 25.9 mo (IQR 8.7-51.8) overall; PTCy arm 19.8 mo (IQR 9.4-45.7), non-PTCy 37.0 mo (IQR 7.9-60.5). Outcome data partly censored at 2 years due to follow-up imbalance."
10,1008,Shaffer BC,2024,Journal of Clinical Oncology,10.1200/JCO.24.00184,NR,Shaffer et al. 2024 - Post-Transplant Cyclophosphamide–Based Graft-Versu ... ity in Outcomes Between Use of Matched or Mismatched Unrelated Donors.pdf,Post-Transplant Cyclophosphamide-Based Graft-Versus-Host Disease Prophylaxis Attenuates Disparity in Outcomes Between Use of Matched or Mismatched Unrelated Donors,United States,NA,registry,registry,153,2017,2021,post_2018,36.6,3,77.8,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,CIBMTR registry analysis 2017-2021. 4 groups reported but only 2 PTCy arms emitted as study arms here per pilot scope (within-PTCy donor-type comparison). HRs extracted relative to MUD-CNI as reference per Fig 4 forest plot.
11,1009,Abadir,2024,Transplantation and Cellular Therapy,10.1016/j.jtct.2023.11.018,NR,"Abadir et al. 2024 - Peripheral blood haploidentical allogeneic stem cel ... c syndromes demonstrates long term survival, results from Austra[...].pdf","Peripheral Blood Haploidentical Allogeneic Stem Cell Transplantation in Older Adults with Acute Myeloid Leukemia and Myelodysplastic Syndromes Demonstrates Long Term Survival, Results from Australia and New Zealand Transplant and Cellular Therapies",Australia/New Zealand,Oceania,single_arm_descriptive_excluded,multi,11,2010,2020,mixed,12.4,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-arm descriptive registry study of PB haplo-HSCT with PTCy in older AML/MDS patients. No comparator arm and no era stratification reported in the paper (paper does NOT split outcomes by enrollment period despite the user prompt header suggesting '2 different periods' — that filename phrasing appears mismatched to actual content). Per spec, marked single_arm_descriptive_excluded; outcomes not extracted. Median follow-up was 377 days (~12.4 months); discussion text also mentions 734 days as overall follow-up reference, but Results section reports 377 days as median follow-up. Arms and outcomes intentionally empty."
12,1002,Abedin S,2025,Blood Advances,10.1182/bloodadvances.2025015964,NR,Abedin S et al. 2025 - Impact of posttransplant cyclophosphamide-based G ... phylaxis in patients 70 years and older - an update from BMT CTN 1703.pdf,Impact of posttransplant cyclophosphamide-based GVHD prophylaxis in patients 70 years and older: an update from BMT CTN 1703,USA,NA,RCT,multi,37,2019,2021,post_2018,NR,NR,NR,N,overlap_subset_of,"2,13",English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Post-hoc subgroup analysis of BMT CTN 1703 RCT (NCT03959241) restricted to 96 patients aged >=70 years (PTCy n=43, Tac/MTX n=53). Bolanos-Meade 2023 NEJM is primary publication for cohort 1002; this is subgroup paper, primary_for_cohort=N. Reports adjusted Cox-model estimates (adjusted for donor type, DRI, HCT-CI, KPS, conditioning, planned maintenance). No follow-up median reported in this paper. 1-year outcomes reported via adjusted cumulative incidence (Gray/Aalen-Johansen-type) for GVHD/relapse/NRM, adjusted survival probabilities for OS/GRFS/RFS/GFS."
