study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
2,1,aGVHD,grade_II_IV,D+100,1,2,208.0,212.0,112.0,110.0,53.8,51.9,,
6,1,aGVHD,grade_II_IV,D+100,10,11,68.0,97.0,26.0,52.0,,,60.0,80.0
7,1,aGVHD,grade_II_IV,D+100,14,15,86.0,125.0,16.0,56.0,19.0,45.0,,
9,1,aGVHD,grade_II_IV,D+100,19,20,200.0,130.0,48.0,46.0,24.0,35.4,,
49,1,aGVHD,grade_II_IV,D+100,50,51,93.0,81.0,54.0,42.0,,,58.0,52.0
50,1,aGVHD,grade_II_IV,D+100,54,55,78.0,40.0,27.0,23.0,34.6,57.5,34.6,57.5
51,1,aGVHD,grade_II_IV,D+100,56,57,78.0,40.0,27.0,23.0,34.6,57.5,34.6,57.5
57,1,aGVHD,grade_II_IV,D+100,63,64,389.0,1654.0,109.0,447.0,28.0,27.0,28.0,27.0
65,1,aGVHD,grade_II_IV,D+100,75,74,40.0,39.0,3.0,15.0,7.0,39.0,7.0,39.0
71,1,aGVHD,grade_II_IV,D+100,80,81,31.0,47.0,7.0,10.0,23.0,21.0,23.0,21.0
77,1,aGVHD,grade_II_IV,D+100,90,91,199.0,1111.0,56.0,340.0,28.2,30.6,28.2,30.6
86,1,aGVHD,grade_II_IV,D+100,101,102,22.0,37.0,4.0,12.0,,,18.0,32.0
88,1,aGVHD,grade_II_IV,D+100,104,105,40.0,40.0,6.0,13.0,15.0,32.8,15.0,39.8
110,1,aGVHD,grade_II_IV,D+100,126,127,53.0,22.0,12.0,12.0,22.3,54.5,22.3,54.5
111,1,aGVHD,grade_II_IV,D+100,130,128,78.0,210.0,12.0,85.0,16.0,40.6,16.0,40.6
112,1,aGVHD,grade_II_IV,D+100,132,133,306.0,686.0,86.0,274.0,28.1,39.9,28.1,39.9
119,1,aGVHD,grade_II_IV,D+100,137,138,34.0,34.0,4.0,17.0,13.0,50.0,13.0,50.0
133,1,aGVHD,grade_II_IV,D+100,151,152,30.0,47.0,4.0,14.0,14.0,26.0,14.0,26.0
144,1,aGVHD,grade_II_IV,D+100,165,166,117.0,39.0,25.0,9.0,21.4,23.1,21.4,23.1
