study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
6,2,aGVHD,grade_III_IV,D+100,10,12,68.0,280.0,,,,,60.0,48.0
24,2,aGVHD,grade_III_IV,D+100,31,32,69.0,90.0,3.0,18.0,,,21.7,58.9
39,2,aGVHD,grade_III_IV,D+100,41,40,90.0,95.0,2.0,18.0,2.0,19.0,21.0,48.0
43,2,aGVHD,grade_III_IV,D+100,42,43,72.0,60.0,1.0,8.0,3.0,34.0,46.0,67.0
60,2,aGVHD,grade_III_IV,D+100,65,66,93.0,179.0,8.0,34.0,9.0,19.0,30.0,32.0
61,2,aGVHD,grade_III_IV,D+100,67,68,197.0,1913.0,12.0,115.0,6.0,6.0,19.0,17.0
66,2,aGVHD,grade_III_IV,D+100,76,77,28.0,28.0,1.0,3.0,3.6,10.7,25.0,50.0
75,2,aGVHD,grade_III_IV,D+100,87,88,41.0,93.0,7.0,21.0,17.1,22.7,65.9,52.8
78,2,aGVHD,grade_III_IV,D+100,93,94,174.0,1452.0,15.0,131.0,8.8,9.0,28.8,29.2
86,2,aGVHD,grade_III_IV,D+100,101,102,22.0,37.0,3.0,1.0,,,18.0,32.0
107,2,aGVHD,grade_III_IV,D+100,122,123,30.0,64.0,,,,,23.0,45.0
111,2,aGVHD,grade_III_IV,D+100,131,129,91.0,34.0,5.0,1.0,5.1,3.7,32.0,30.6
112,2,aGVHD,grade_III_IV,D+100,132,134,306.0,395.0,22.0,49.0,7.2,12.4,28.1,39.7
122,2,aGVHD,grade_III_IV,D+100,143,144,110.0,35.0,5.0,7.0,,,17.3,31.4
124,2,aGVHD,grade_III_IV,D+100,149,150,23.0,37.0,2.0,8.0,,,21.7,59.5
136,2,aGVHD,grade_III_IV,D+100,154,155,82.0,89.0,10.0,10.0,12.3,11.3,22.0,25.0
142,2,aGVHD,grade_III_IV,D+100,163,164,279.0,1134.0,41.0,175.0,14.8,15.4,35.6,30.5
151,2,aGVHD,grade_III_IV,D+100,169,170,117.0,779.0,8.0,74.0,7.0,9.5,31.0,30.0
167,2,aGVHD,grade_III_IV,D+100,174,176,16.0,16.0,,,,,13.0,44.0
168,2,aGVHD,grade_III_IV,D+100,177,179,225.0,429.0,20.0,43.0,9.0,10.0,33.0,30.0
185,2,aGVHD,grade_III_IV,D+100,195,196,82.0,46.0,12.0,14.0,15.0,31.0,,
196,2,aGVHD,grade_III_IV,D+100,201,203,49.0,41.0,12.0,35.0,8.0,17.0,27.0,49.0
236,2,aGVHD,grade_III_IV,D+100,233,234,123.0,476.0,15.0,71.0,12.0,15.0,40.0,36.0
254,2,aGVHD,grade_III_IV,D+100,262,263,25.0,51.0,3.0,10.0,12.0,19.6,24.4,52.9
257,2,aGVHD,grade_III_IV,D+100,265,266,132.0,318.0,8.0,62.0,5.9,19.6,28.6,38.2
263,2,aGVHD,grade_III_IV,D+100,275,277,489.0,99.0,24.0,6.0,4.9,6.1,24.4,30.4
277,2,aGVHD,grade_III_IV,D+100,296,297,336.0,98.0,47.0,11.0,14.1,11.6,30.5,32.7
280,2,aGVHD,grade_III_IV,D+100,301,302,707.0,6342.0,47.0,533.0,6.6,8.4,23.9,25.2
299,2,aGVHD,grade_III_IV,D+100,323,324,22.0,40.0,0.0,10.0,0.0,18.0,14.0,35.0
307,2,aGVHD,grade_III_IV,D+100,336,337,1039.0,7725.0,90.0,749.0,8.7,9.7,24.1,26.5
324,2,aGVHD,grade_III_IV,D+100,353,354,193.0,115.0,9.0,14.0,4.7,12.5,31.0,21.0
353,2,aGVHD,grade_III_IV,D+100,392,393,24.0,16.0,1.0,1.0,,,,
366,2,aGVHD,grade_III_IV,D+100,407,406,73.0,74.0,14.0,7.0,19.0,10.0,46.0,33.0
396,2,aGVHD,grade_III_IV,D+100,443,442,123.0,226.0,18.0,23.0,14.8,10.2,27.9,25.2
464,2,aGVHD,grade_III_IV,D+100,522,523,53.0,51.0,4.0,8.0,7.5,15.7,24.5,47.1
465,2,aGVHD,grade_III_IV,D+100,524,525,80.0,80.0,5.0,14.0,6.3,17.5,23.8,40.0
