study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
6,2,cGVHD,moderate_severe_NIH,D+365_1yr,10,12,68.0,280.0,16.0,45.0,,,60.0,48.0
75,2,cGVHD,moderate_severe_NIH,D+365_1yr,87,88,41.0,93.0,10.0,15.0,24.2,15.9,65.9,52.8
107,2,cGVHD,moderate_severe_NIH,D+365_1yr,122,123,30.0,64.0,3.0,17.0,10.0,27.0,23.0,45.0
111,2,cGVHD,moderate_severe_NIH,D+365_1yr,131,129,91.0,34.0,30.0,6.0,33.1,18.9,32.0,30.6
112,2,cGVHD,moderate_severe_NIH,D+365_1yr,132,134,306.0,395.0,25.0,82.0,8.1,20.8,28.1,39.7
142,2,cGVHD,moderate_severe_NIH,D+365_1yr,163,164,279.0,1134.0,101.0,304.0,36.1,26.8,35.6,30.5
167,2,cGVHD,moderate_severe_NIH,D+365_1yr,174,176,16.0,16.0,1.0,6.0,6.0,38.0,13.0,44.0
168,2,cGVHD,moderate_severe_NIH,D+365_1yr,177,179,226.0,395.0,63.0,138.0,28.0,35.0,33.0,30.0
185,2,cGVHD,moderate_severe_NIH,D+365_1yr,195,196,82.0,46.0,7.0,10.0,9.0,22.0,,
254,2,cGVHD,moderate_severe_NIH,D+365_1yr,262,263,25.0,51.0,4.0,25.0,16.0,49.0,24.4,52.9
39,2,cGVHD,moderate_severe_NIH,D+730_2yr,41,40,90.0,95.0,24.0,26.0,27.0,27.0,21.0,48.0
43,2,cGVHD,moderate_severe_NIH,D+730_2yr,42,43,72.0,60.0,15.0,13.0,24.0,23.0,46.0,67.0
66,2,cGVHD,moderate_severe_NIH,D+730_2yr,76,77,28.0,28.0,1.0,3.0,4.0,11.0,25.0,50.0
99,2,cGVHD,moderate_severe_NIH,D+730_2yr,113,114,112.0,427.0,11.0,115.0,10.0,27.0,27.0,30.0
136,2,cGVHD,moderate_severe_NIH,D+730_2yr,154,155,68.0,77.0,4.0,30.0,5.8,39.6,22.0,25.0
137,2,cGVHD,moderate_severe_NIH,D+730_2yr,156,158,330.0,74.0,40.0,16.0,12.2,21.7,41.8,37.8
299,2,cGVHD,moderate_severe_NIH,D+730_2yr,323,324,22.0,40.0,4.0,10.0,20.0,26.0,14.0,35.0
358,2,cGVHD,moderate_severe_NIH,D+730_2yr,397,396,41.0,67.0,2.0,7.0,4.9,10.6,,
366,2,cGVHD,moderate_severe_NIH,D+730_2yr,407,406,73.0,74.0,26.0,7.0,36.0,9.0,46.0,33.0
396,2,cGVHD,moderate_severe_NIH,D+730_2yr,443,442,123.0,226.0,10.0,39.0,8.1,17.4,27.9,25.2
457,2,cGVHD,moderate_severe_NIH,D+730_2yr,513,515,71.0,35.0,8.0,11.0,11.5,31.5,,
464,2,cGVHD,moderate_severe_NIH,D+730_2yr,522,523,53.0,51.0,4.0,8.0,8.0,15.7,24.5,47.1
465,2,cGVHD,moderate_severe_NIH,D+730_2yr,524,525,80.0,80.0,3.0,9.0,4.2,11.5,23.8,40.0
