study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
6,2,overall_mortality,OS_event,D+365_1yr,10,12,68.0,280.0,26.0,53.0,38.0,19.0,60.0,48.0
39,2,overall_mortality,OS_event,D+365_1yr,41,40,90.0,95.0,22.0,31.0,24.0,33.0,21.0,48.0
49,2,overall_mortality,OS_event,D+365_1yr,50,51,118.0,91.0,70.0,42.0,59.72,45.8,58.0,52.0
66,2,overall_mortality,OS_event,D+365_1yr,76,77,28.0,28.0,11.0,17.0,39.0,61.0,25.0,50.0
75,2,overall_mortality,OS_event,D+365_1yr,87,88,41.0,93.0,9.0,40.0,21.3,43.5,65.9,52.8
107,2,overall_mortality,OS_event,D+365_1yr,122,123,30.0,64.0,4.0,11.0,13.0,17.0,23.0,45.0
120,2,overall_mortality,OS_event,D+365_1yr,139,141,132.0,403.0,45.0,177.0,34.0,44.0,34.0,32.0
185,2,overall_mortality,OS_event,D+365_1yr,195,196,82.0,46.0,20.0,25.0,25.0,55.0,,
196,2,overall_mortality,OS_event,D+365_1yr,201,203,185.0,241.0,44.0,84.0,24.0,35.0,27.0,49.0
254,2,overall_mortality,OS_event,D+365_1yr,262,263,25.0,51.0,7.0,22.0,29.75,43.14,24.4,52.9
363,2,overall_mortality,OS_event,D+365_1yr,403,404,22.0,58.0,2.0,21.0,9.0,36.0,15.0,50.0
366,2,overall_mortality,OS_event,D+365_1yr,407,406,73.0,74.0,26.0,26.0,36.0,35.0,46.0,33.0
24,2,overall_mortality,OS_event,D+730_2yr,31,32,69.0,90.0,37.0,44.0,54.0,49.0,21.7,58.9
43,2,overall_mortality,OS_event,D+730_2yr,42,43,72.0,60.0,29.0,25.0,40.0,42.0,46.0,67.0
60,2,overall_mortality,OS_event,D+730_2yr,65,66,93.0,179.0,41.0,111.0,44.0,62.0,30.0,32.0
61,2,overall_mortality,OS_event,D+730_2yr,67,68,197.0,1913.0,71.0,670.0,36.0,35.0,19.0,17.0
63,2,overall_mortality,OS_event,D+730_2yr,71,72,2999.0,358.0,1125.0,159.0,37.5,44.3,27.5,30.4
78,2,overall_mortality,OS_event,D+730_2yr,93,94,174.0,1452.0,65.0,511.0,37.3,35.2,28.8,29.2
99,2,overall_mortality,OS_event,D+730_2yr,113,114,112.0,427.0,40.0,124.0,36.0,29.0,27.0,30.0
111,2,overall_mortality,OS_event,D+730_2yr,131,129,91.0,34.0,25.0,12.0,27.6,35.4,32.0,30.6
112,2,overall_mortality,OS_event,D+730_2yr,132,134,306.0,395.0,80.0,117.0,26.1,29.5,28.1,39.7
122,2,overall_mortality,OS_event,D+730_2yr,143,144,110.0,35.0,43.0,23.0,48.9,67.6,17.3,31.4
124,2,overall_mortality,OS_event,D+730_2yr,149,150,23.0,37.0,4.0,28.0,,,21.7,59.5
136,2,overall_mortality,OS_event,D+730_2yr,154,155,82.0,89.0,36.0,26.0,44.1,29.5,22.0,25.0
137,2,overall_mortality,OS_event,D+730_2yr,156,158,330.0,74.0,135.0,27.0,41.0,36.0,41.8,37.8
142,2,overall_mortality,OS_event,D+730_2yr,163,164,279.0,1134.0,,,,,35.6,30.5
151,2,overall_mortality,OS_event,D+730_2yr,169,170,117.0,779.0,21.0,203.0,18.0,26.0,31.0,30.0
257,2,overall_mortality,OS_event,D+730_2yr,265,266,132.0,318.0,47.0,151.0,35.5,47.6,28.6,38.2
263,2,overall_mortality,OS_event,D+730_2yr,275,277,489.0,99.0,207.0,36.0,45.2,34.9,24.4,30.4
277,2,overall_mortality,OS_event,D+730_2yr,296,297,336.0,98.0,159.0,66.0,51.6,72.6,30.5,32.7
280,2,overall_mortality,OS_event,D+730_2yr,301,302,707.0,6342.0,210.0,2163.0,29.7,34.1,23.9,25.2
299,2,overall_mortality,OS_event,D+730_2yr,323,324,22.0,40.0,3.0,19.0,15.0,44.0,14.0,35.0
307,2,overall_mortality,OS_event,D+730_2yr,336,337,1039.0,7725.0,255.0,2506.0,26.9,34.1,24.1,26.5
324,2,overall_mortality,OS_event,D+730_2yr,353,354,193.0,115.0,81.0,53.0,42.0,45.8,31.0,21.0
352,2,overall_mortality,OS_event,D+730_2yr,389,391,116.0,141.0,,,,,,
353,2,overall_mortality,OS_event,D+730_2yr,392,393,24.0,16.0,9.0,9.0,39.0,58.0,,
358,2,overall_mortality,OS_event,D+730_2yr,397,396,41.0,67.0,10.0,11.0,23.5,16.6,,
361,2,overall_mortality,OS_event,D+730_2yr,400,402,757.0,1605.0,375.0,753.0,49.5,46.9,,
384,2,overall_mortality,OS_event,D+730_2yr,427,428,119.0,313.0,37.0,102.0,31.4,32.5,29.7,23.7
457,2,overall_mortality,OS_event,D+730_2yr,513,515,71.0,35.0,4.0,7.0,6.0,21.4,,
464,2,overall_mortality,OS_event,D+730_2yr,522,523,53.0,51.0,12.0,19.0,20.9,36.4,24.5,47.1
465,2,overall_mortality,OS_event,D+730_2yr,524,525,80.0,80.0,16.0,25.0,20.6,31.6,23.8,40.0
167,2,overall_mortality,OS_event,end_of_followup,174,176,16.0,16.0,9.0,9.0,56.0,56.0,13.0,44.0
396,2,overall_mortality,OS_event,end_of_followup,443,442,123.0,226.0,43.0,41.0,35.2,18.1,27.9,25.2
