study_id,comparison,category,subtype,timepoint_used,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_ci_pct,comp_ci_pct,ptcy_steroid_pct,comp_steroid_pct
100,3,NRM,NRM_overall,D+365_1yr,116,115,124.0,160.0,12.0,21.0,9.7,13.0,9.8,19.0
203,3,NRM,NRM_overall,D+365_1yr,210,211,99.0,252.0,10.0,81.0,7.0,22.0,16.0,33.0
253,3,NRM,NRM_overall,D+365_1yr,261,260,65.0,24.0,14.0,5.0,21.9,22.0,,
272,3,NRM,NRM_overall,D+365_1yr,286,287,1728.0,293.0,367.0,41.0,18.0,12.0,33.0,24.0
397,3,NRM,NRM_overall,D+365_1yr,444,445,44.0,22.0,1.0,0.0,2.3,0.0,18.2,18.2
437,3,NRM,NRM_overall,D+365_1yr,490,489,17.0,16.0,2.0,7.0,,,11.8,31.3
460,3,NRM,NRM_overall,D+365_1yr,516,517,31.0,36.0,4.0,13.0,12.9,36.2,17.0,40.2
461,3,NRM,NRM_overall,D+365_1yr,518,519,21.0,42.0,4.0,8.0,19.0,19.0,24.0,29.0
418,3,NRM,NRM_overall,D+100,462,463,33.0,25.0,3.0,6.0,9.0,25.0,18.0,17.0
10,3,NRM,NRM_overall,end_of_followup,22,21,607.0,1676.0,,,,,,
