category,subtype,comparison,pre_k,pre_or,pre_ci_low,pre_ci_high,pre_tau,post_k,post_or,post_ci_low,post_ci_high,post_tau,post_I2
overall_mortality,OS_event,C1,35.0,0.77,0.71,0.83,0.59,104,0.8174076923905066,0.7499715446593361,0.8909075822105665,0.322868775263062,69.61098670720074
overall_mortality,OS_event,C2,10.0,0.69,0.61,0.78,0.56,42,0.7947275384880444,0.6884375315455976,0.9174279894550368,0.35390384793357443,73.16580038156279
overall_mortality,OS_event,C3,,,,,,16,0.7817818513181347,0.5830096700390095,1.0483237147842084,0.46610421848398326,76.74717268484208
NRM,NRM_overall,C1,15.0,0.86,0.7,1.08,0.56,52,0.8717236640872502,0.7348290819028558,1.0341209476384874,0.4542717786508651,67.84034683462662
NRM,NRM_overall,C2,5.0,0.65,0.43,0.97,0.38,19,0.6935377130351026,0.4941750789865771,0.9733282390288751,0.5840453084242545,70.96237410483171
NRM,NRM_overall,C3,,,,,,9,0.57359612777378,0.28663600190668753,1.1478408699831861,0.8525793161988997,77.11450950841314
aGVHD,grade_II_IV,C1,24.0,0.63,0.54,0.74,0.66,97,0.7108336164417343,0.6427514918121049,0.7861271995481327,0.38652680578479687,75.35807467257449
aGVHD,grade_II_IV,C2,6.0,0.59,0.42,0.84,0.27,42,0.823483773844937,0.7196479590150235,0.9423017425270606,0.3206769628265807,66.62865933292372
aGVHD,grade_II_IV,C3,,,,,,16,0.6669426615307323,0.4811293604951475,0.9245175004741437,0.5141836028891043,77.1017131674317
aGVHD,grade_III_IV,C1,,,,,,78,0.5206268601158831,0.44282854313411724,0.6120931716726107,0.5032148830885232,64.48639191955841
aGVHD,grade_III_IV,C2,,,,,,33,0.6102984238466215,0.4849962460448297,0.7679732970865973,0.4646310160187126,63.36480180037538
aGVHD,grade_III_IV,C3,,,,,,11,0.5864626774301115,0.31570630493589014,1.0894254141941764,0.7772082503091953,66.99120990853379
cGVHD,moderate_severe_NIH,C1,,,,,,55,0.33198816055884806,0.2696459118074092,0.40874396356495774,0.6065883899354496,74.51556373668058
cGVHD,moderate_severe_NIH,C2,,,,,,23,0.5988951832347917,0.41411942249425787,0.8661159583907421,0.7442021107646497,80.25051034739401
cGVHD,moderate_severe_NIH,C3,,,,,,12,0.6444015835083078,0.42741572187097554,0.9715445164494152,0.513259115088361,58.4153972195182
CMV,any_reactivation,C1,18.0,1.41,1.2,1.65,0.57,20,1.137232477889706,0.8126311056797336,1.5914942213359757,0.6538761085197305,81.73618463314807
CMV,any_reactivation,C2,12.0,0.77,0.6,0.99,0.53,9,1.015149934940752,0.6577110889630183,1.5668420491967066,0.4914177555458338,59.9142661524569
CMV,any_reactivation,C3,,,,,,2,0.47687153973339746,0.1280031804807309,1.776568867692582,0.4166716086576243,19.093304990213326
BSI,any_pathogen,C1,6.0,2.39,1.85,3.1,0.64,10,2.2500242626030444,1.4677014810430993,3.449345284236114,0.5145899981157763,63.081388341814346
BSI,any_pathogen,C2,,,,,,5,1.58243951886707,0.8253575875296759,3.033975659407393,0.5734861303486495,61.640809663805015
IFI_mold,EORTC_MSG_proven_probable,C1,,,,,,4,1.5074981583841915,0.851510040725212,2.6688477984314183,0.23987785001374473,16.594645554726238
IFI_any,EORTC_MSG_proven_probable_combined,C1,8.0,0.73,0.53,1.0,1.05,6,0.5922054762838008,0.22186441474543706,1.5807281512130649,1.001577860424278,77.2087340240887
IFI_any,EORTC_MSG_proven_probable_combined,C2,,,,,,3,1.7973427366746988,0.23108051150696302,13.979720280219109,1.5574958863847372,76.93846370971212
IFI_any,EORTC_MSG_proven_probable_combined,C3,,,,,,1,1.8333333333333333,0.5696007926259502,5.900818879861199,0.0,0.0
infection_related_mortality,IRM_any_cause_infectious,C1,,,,,,15,1.0905056075786799,0.7891291122108323,1.5069808751940021,0.4526573167595754,65.3388739564091
infection_related_mortality,IRM_any_cause_infectious,C2,,,,,,8,0.9156082714335689,0.666284467407046,1.2582291014228475,0.23668237158323802,33.407169047133486
infection_related_mortality,IRM_any_cause_infectious,C3,,,,,,2,0.45008844679376536,0.03523572141687434,5.749268123121472,1.6644942660285147,80.28041514393264
