arm_id,study_id,arm_label_in_paper,arm_role,comparison_1_eligible,comparison_2_eligible,comparison_3_eligible,n_patients,pct_male,age_median_years,age_iqr_low,age_iqr_high,age_range_min,age_range_max,age_mean_years,age_sd_years,disease_aml_pct,disease_all_pct,disease_mds_pct,disease_mpn_pct,disease_cml_pct,disease_lymphoma_pct,disease_mm_pct,disease_cll_pct,disease_saa_pct,disease_other_pct,disease_risk_high_pct,disease_risk_intermediate_pct,disease_risk_low_pct,disease_risk_classifier_used,donor_msd_pct,donor_mud_pct,donor_mmud_pct,donor_haplo_pct,donor_ucb_pct,donor_predominant,graft_pbsc_pct,graft_bm_pct,graft_ucb_pct,graft_predominant,conditioning_mac_pct,conditioning_ric_pct,conditioning_nma_pct,conditioning_classification_scheme,conditioning_predominant,tbi_used_pct,hla_10_10_pct,hla_9_10_pct,hla_8_10_or_lower_pct,hla_haplo_pct,cmv_recipient_pos_pct,cmv_donor_pos_pct,cmv_DposRpos_pct,cmv_DposRneg_pct,cmv_DnegRpos_pct,cmv_DnegRneg_pct,cmv_serostatus_reporting,ptcy_used,ptcy_dose_mg_kg_per_dose,ptcy_n_doses,ptcy_days_post_transplant,ptcy_total_dose_mg_kg,ptcy_dose_category,cni_used,cni_agent,cni_target_trough_ng_ml_range,mmf_used,mmf_total_daily_dose_mg,mtx_used,mtx_schedule,mtx_total_dose_mg_m2,sirolimus_used,abatacept_used,other_immunosuppressant_used,other_immunosuppressant_description,atg_used,atg_agent,atg_total_dose_mg_kg,atg_dose_category,atg_timing,letermovir_use,letermovir_era_proxy,antifungal_prophylaxis_agent,antifungal_mold_active,antifungal_duration_target,antibacterial_prophylaxis_agent,pjp_prophylaxis_agent,cmv_monitoring_method,cmv_monitoring_frequency_per_week,cmv_preemptive_threshold,systemic_steroid_for_gvhd_exposure_pct,steroid_exposure_duration_days_median,second_line_gvhd_therapy_exposure_pct
1,2,Experimental prophylaxis (cyclophosphamide-tacrolimus-mycophenolate mofetil; PTCy/Tac/MMF),PTCy_arm,Y,N,N,214,62.6,NR,NR,NR,NR,NR,64.2,8.5,50,5.6,29.4,NR,NR,NR,NR,NR,NR,15,NR,NR,NR,DRI,28,68.7,3.3,0,0,MUD,100,0,0,PBSC,0,100,NR,investigator_defined,RIC,NR,NA,NA,NA,0,NR,NR,NR,NR,NR,NR,NR,Y,50,2,"D+3, D+4",100,standard_50x2,Y,tacrolimus,NR,Y,15 mg/kg/dose up to 1g TID; D+5 through D+35,N,NA,NA,N,N,N,NA,N,NA,NA,NA,NA,NR,post_2018,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2,2,Standard prophylaxis (tacrolimus-methotrexate; Tac/MTX),comparator_arm,Y,N,N,217,58.1,NR,NR,NR,NR,NR,64.5,8.9,46.1,12.4,30,NR,NR,NR,NR,NR,NR,11.5,NR,NR,NR,DRI,31.3,65,3.7,0,0,MUD,100,0,0,PBSC,0,100,NR,investigator_defined,RIC,NR,NA,NA,NA,0,NR,NR,NR,NR,NR,NR,NR,N,NA,NA,NA,NA,NA,Y,tacrolimus,NR,N,NA,Y,"IV bolus 15 mg/m2 D+1; 10 mg/m2 D+3, D+6, D+11",45,N,N,N,NA,N,NA,NA,NA,NA,NR,post_2018,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
3,4,HaploCy,PTCy_arm,Y,N,N,757,61,58,NR,NR,3,78,NR,NR,70,3,27,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,investigator_defined,0,0,0,100,0,haplo,59,41,0,PBSC,41,59,NR,CIBMTR,RIC,70,0,0,NR,100,72,50,43,7,29,17,DR_combinations,Y,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,N,NR,NR,N,NA,NA,NA,NA,NR,mixed_spans_era,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
4,4,SibCy,PTCy_arm,Y,N,N,403,60,46,NR,NR,3,75,NR,NR,77,5,18,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,investigator_defined,100,0,0,0,0,MSD,67,33,0,PBSC,55,45,NR,CIBMTR,MAC,58,100,0,0,0,68,52,43,9,25,20,DR_combinations,Y,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,N,NR,NR,N,NA,NA,NA,NA,NR,mixed_spans_era,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
5,4,SibCNI,comparator_arm,Y,N,N,1605,58,57,NR,NR,2,78,NR,NR,64,4,32,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,investigator_defined,100,0,0,0,0,MSD,88,12,0,PBSC,58,42,NR,CIBMTR,MAC,27,100,0,0,0,67,53,43,10,24,20,DR_combinations,N,NA,NA,NA,NA,NA,Y,other,NR,mixed,NR,mixed,NR,NR,NR,N,NR,TAC/CSA+MTX±other 77%; TAC/CSA+MMF±other 23%,N,NA,NA,NA,NA,NR,mixed_spans_era,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
6,5,haplo-PTCy,PTCy_arm,Y,N,N,75,NR,54,NR,NR,20,72,NR,NR,NR,NR,NR,NR,NR,11,NR,NR,NA,7,NR,NR,NR,NR,0,0,0,100,0,haplo,89,11,0,PBSC,43,57,0,investigator_defined,RIC,NR,NR,NR,NR,100,72,50,44,6,28,22,DR_combinations,Y,NR,NR,NR,NR,NR,Y,tacrolimus,NR,UNCL,NR,N,NA,NA,N,N,N,NA,N,NA,NA,NA,NA,none,mixed_spans_era,NR,NR,NR,NR,NR,PCR_qPCR,1,CMV DNAemia >=500 copies (PCR) or equivalent of >=650 IU/mL by real-time PCR,NR,NR,NR
7,5,MUD-PTCy,PTCy_arm,Y,N,N,38,NR,63,NR,NR,21,76,NR,NR,NR,NR,NR,NR,NR,35,NR,NR,NA,8,NR,NR,NR,NR,0,100,0,0,0,MUD,97,3,0,PBSC,26,74,0,investigator_defined,RIC,NR,NR,NR,NR,0,62,24,19,5,43,32,DR_combinations,Y,NR,NR,NR,NR,NR,Y,tacrolimus,NR,UNCL,NR,N,NA,NA,N,N,N,NA,N,NA,NA,NA,NA,none,mixed_spans_era,NR,NR,NR,NR,NR,PCR_qPCR,1,CMV DNAemia >=500 copies (PCR) or equivalent of >=650 IU/mL by real-time PCR,NR,NR,NR
8,5,Tac/MTX,comparator_arm,Y,N,N,89,NR,57,NR,NR,20,74,NR,NR,NR,NR,NR,NR,NR,2,NR,NR,NA,25,NR,NR,NR,NR,0,100,0,0,0,MUD,92,8,0,PBSC,40,60,0,investigator_defined,RIC,NR,NR,NR,NR,0,68,47,37,10,31,22,DR_combinations,N,NA,NA,NA,NA,NA,Y,tacrolimus,NR,N,NA,Y,NR,NR,N,N,N,NA,N,NA,NA,NA,NA,none,mixed_spans_era,NR,NR,NR,NR,NR,PCR_qPCR,1,CMV DNAemia >=500 copies (PCR) or equivalent of >=650 IU/mL by real-time PCR,NR,NR,NR
9,5,Tac/Sir,comparator_arm,Y,N,N,381,NR,60,NR,NR,19,76,NR,NR,NR,NR,NR,NR,NR,6,NR,NR,NA,6,NR,NR,NR,NR,0,100,0,0,0,MUD,98,2,0,PBSC,38,62,0,investigator_defined,RIC,NR,NR,NR,NR,0,63,39,28,11,35,25,DR_combinations,N,NA,NA,NA,NA,NA,Y,tacrolimus,NR,N,NA,N,NA,NA,Y,N,N,NA,N,NA,NA,NA,NA,none,mixed_spans_era,NR,NR,NR,NR,NR,PCR_qPCR,1,CMV DNAemia >=500 copies (PCR) or equivalent of >=650 IU/mL by real-time PCR,NR,NR,NR
10,6,PTCY,PTCy_arm,Y,Y,N,68,57,59.9,NR,NR,NR,NR,NR,NR,49,4,12,13,NR,16,6,NR,NR,0,2,84,15,investigator_defined,0,0,46,54,0,haplo,100,0,0,PBSC,7,15,0,investigator_defined,RIC,NR,0,0,46,54,59,NR,NR,13,NR,28,DR_combinations,Y,50,2,"D+3,D+4",100,standard_50x2,Y,cyclosporine,NR,Y,NR,N,NA,NA,N,N,N,NA,N,NA,NA,NA,NA,era_proxy_only,mixed_spans_era,NR,UNCL,NR,NR,NR,PCR_qPCR,NR,CMV > 1000 IU/ml defined as reactivation,60,NR,21
