cohort_id,cohort_label,cohort_description,registry_or_source,enrollment_start_year,enrollment_end_year,total_unique_patients,primary_publication_study_id,primary_publication_overrides,overlap_notes
1002,BMT_CTN_1703,"BMT CTN 1703: NIH/NHLBI-funded multicenter phase 3 RCT randomizing adults to PTCy-Tac-MMF (experimental) vs Tac-MTX (standard) for GVHD prophylaxis after RIC allogeneic PBSC HSCT from HLA-matched/7-8 mismatched related or unrelated donors. 37 US centers, 431 randomized, enrollment Jun 2019-Jun 2021. Companion phase 3 trial to BMT CTN 1801 (Progress II).",multicenter_collaboration,2019,2021,431,2,NA,"Cohort 1002. Related publications include Abedin S 2024/2025 (age >=70 post-hoc) and Shaffer 2024 (cohort 1008, separate MUD/MMUD trial - not the same cohort). Note: BMT CTN 1703 is the cohort here; Bolanos-Meade 2023 NEJM is the primary publication for all infection and GVHD outcomes at 1 year."
1001,CIBMTR_HaploCy_SibCy_SibCNI,"CIBMTR registry analysis of patients reported between 2012 and 2017 receiving first allogeneic HCT for AML, ALL, or MDS, restricted to centers reporting both HaploCy and SibCNI; three arms (HaploCy haploidentical+PTCy, SibCy matched sibling+PTCy, SibCNI matched sibling+CNI-based prophylaxis). Excludes UCB, unrelated donors, single-mismatch related, and T-cell manipulation (CD34 selection, ex vivo TCD, ATG, alemtuzumab).",CIBMTR,2012,2017,2765,4,"IFI_mold:8
IFI_yeast:8
IFI_any:8",Same patient cohort as Papanicolaou GA et al. 2024 (study_id 8). Goldsmith 2021 is primary publication for CMV outcomes; Papanicolaou 2024 is primary publication for IFI outcomes per outcome-specific override.
1004,Moffitt_Khimani_Ranspach,"Single-center retrospective cohort of 583 consecutive adult patients undergoing allo-HCT for hematologic malignancies at H. Lee Moffitt Cancer Center between January 2012 and December 2018. Includes haplo (n=75) and 8/8 MUD (n=508) recipients receiving MAC (n=223) or RIC (n=360); none received ATG. Primary analysis stratified by GVHD prophylaxis into 4 groups: haplo-PTCy, MUD-PTCy, Tac/MTX, Tac/Sir.",single_center,2012,2018,583,5,NA,Single-center Moffitt cohort; possible patient overlap with other Moffitt PTCy publications outside this pilot but no overlap with the 9 other pilot studies.
1005,Freiburg_Meyer_single_center,"Adults undergoing alloHCT at University of Freiburg between 2015-2022, T-cell replete PBSCT, stratified by donor type and GvHD prophylaxis into 4 groups: haplo/MM+PTCy, MRD/NoATLG, MUD+ATLG Grafalon 30 mg/kg, MM+ATLG Grafalon 30 mg/kg. All received CSA + mycophenolate sodium. Inborn errors of immunity excluded.",single_center,2015,2022,499,6,NA,Single-center Freiburg cohort; no known overlap with other pilot papers.
1007,Pavlov_StPetersburg_RCT,"Single-center prospective trial of PTCy/Tac/MMF (NCT02294552, enrolled 2013-2015) vs historical control of consecutive PBSC unrelated donor transplants (2010-2013) with ATG/Tac/MTX or MMF at First St. Petersburg State Medical University (Pavlov). Adults with AML/ALL.",single_center,2010,2015,211,7,NA,Same institution (Gorbacheva Memorial/Pavlov) as Moiseev 2017 and Moiseev 2025 but distinct PBSC cohort focused on AML/ALL; no overlap with other pilot papers.
1003,Salas_Barcelona,Single-center retrospective cohort of consecutive adults undergoing allogeneic HCT at Hospital Clinic de Barcelona between January 2014 and March 2021. Multiple Salas publications report on overlapping subsets of this cohort. This 2022 BSI paper is the index publication for bloodstream infection outcomes.,single_center,2014,2021,330,9,BSI outcomes: study_id 9 (Salas 2022 BSI),"Hospital Clinic de Barcelona PTCy program cohort. Related Salas publications include Salas 2022 (Improving Safety and Outcomes), Salas 2022 (PTCY-TK for older adults), Salas 2023 (MDS CMWP), Salas 2024 (multiple). primary_for_cohort=partial: this paper is primary for BSI only."
1008,CIBMTR_MUD_MMUD_Shaffer,"CIBMTR registry cohort of adult recipients undergoing initial MUD (8/8) or single HLA locus MMUD (7/8) HCT for AML, ALL, or MDS with either PTCy- or CNI-based GVHD prophylaxis, reported between January 2017 and June 2021. Total N=10,025 (1,681 PTCy-MUD; 7,272 CNI-MUD; 613 PTCy-MMUD; 459 CNI-MMUD).",CIBMTR,2017,2021,10025,10,NA,Distinct CIBMTR cohort from Goldsmith/Papanicolaou (cohort 1001). Shaffer cohort focuses on MUD vs MMUD comparisons (not Haplo vs Sib). Different time window (2017-2021) and donor types.
1009,ABMTRR_older_haplo_AMLMDS,"Australasian Bone Marrow Transplant Recipient Registry (ABMTRR) national retrospective cohort of patients aged 65 or older receiving peripheral blood haploidentical HSCT for AML or MDS in Australia and New Zealand between January 2010 and July 2020. 11 centers contributed; universal use of PTCy GVHD prophylaxis; no ATG; predominantly RIC with FluCyTBI 'Baltimore' regimen. N=44 (30 AML, 14 MDS).",national_registry,2010,2020,44,11,NA,"Some patients may overlap with ANZHIT 1 prospective Australian haplo cohort (Moore et al. 2023, Blood Adv) referenced for relapse rate consistency, but ANZHIT 1 is not restricted to older patients."
1010,MCW_Abid_haplo_CRS,"Single-center retrospective cohort of 78 consecutive adult patients undergoing T cell-replete PTCy-based haploidentical related donor HCT at Medical College of Wisconsin (MCW) between April 2012 and April 2018. All received uniform GVHD prophylaxis with PTCy + tacrolimus + MMF. Patients stratified into 3 groups based on severity of cytokine release syndrome (CRS) by Lee et al. criteria: grade 0-1 (n=41), grade 2 (n=27), grade 3 (n=10). Primary aim was to evaluate CRS severity as a predictor of infection risk and mortality after haploHCT.",single_center,2012,2018,78,14,NA,Single-center MCW haploHCT cohort. No known overlap with other PTCy MA cohorts.
1011,CIBMTR_HL_HaploPTCy_MSDCNI,"CIBMTR registry analysis of 596 adult classic Hodgkin lymphoma (cHL) patients undergoing first NMA/RIC allo-HCT between 2008 and 2016, comparing T cell-replete related donor haploidentical with PTCy (n=139) vs MSD with CNI-based GVHD prophylaxis (n=457). MSD recipients could receive ATG or alemtuzumab (14%); ex vivo graft manipulation excluded. Distinct from CIBMTR cohort 1001 (AML/ALL/MDS) and 1008 (MUD/MMUD) — Hodgkin lymphoma-specific.",CIBMTR,2008,2016,596,19,NA,"Authors note some overlap with patients in Kanate 2016 (Blood) and Ghosh 2016 (J Clin Oncol) CIBMTR analyses of lymphoma patients receiving haplo or MSD between 2008 and 2013, but extended to 2016 and excluding in vivo T-cell depletion overlap. cHL-only subset distinct from broader CIBMTR cohorts 1001 and 1008."
