outcome_id,arm_id,study_id,cohort_id,outcome_category,outcome_subtype,timepoint,timepoint_days_numeric,is_primary_timepoint,is_primary_definition,denominator_n,event_count,proportion_reported_pct,cumulative_incidence_pct,ci_lower_pct,ci_upper_pct,ci_method,competing_risks_handled,hr_value,hr_ci_lower,hr_ci_upper,hr_comparator_arm_id,hr_adjusted,incidence_rate_value,incidence_rate_unit,person_time_total,person_time_unit,median_time_to_event_days,ascertainment_method,screening_frequency_per_week,definition_text,data_source,data_quality_flag,extraction_notes
1,1,2,1002,CMV,any_reactivation,D+100,100,Y,Y,208,NR,NR,7.3,4.3,11.4,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Cumulative incidence of cytomegalovirus reactivation at day 100,table,direct,Table 2 of NEJM. Definition not further specified in main text; details likely in Supplementary Appendix.
2,2,2,1002,CMV,any_reactivation,D+100,100,Y,Y,212,NR,NR,7.1,4.1,11.1,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Cumulative incidence of cytomegalovirus reactivation at day 100,table,direct,Table 2 of NEJM.
3,1,2,1002,NRM,NRM_overall,D+365_1yr,365,Y,Y,208,NR,NR,12.3,8.199999999999999,17.2,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Cumulative incidence of 1-yr transplantation-related death (competing risk: relapse or progression),table,direct,Table 2 of NEJM. Paper uses 'transplantation-related death' (TRM); treated as NRM_overall.
4,2,2,1002,NRM,NRM_overall,D+365_1yr,365,Y,Y,212,NR,NR,17.2,12.4,22.6,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Cumulative incidence of 1-yr transplantation-related death,table,direct,Table 2 of NEJM.
5,1,2,1002,aGVHD,grade_II_IV,D+100,100,Y,Y,208,NR,NR,53.8,46.7,60.4,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Cumulative incidence of grade II-IV acute GVHD at day 100, graded per Mount Sinai Acute GVHD International Consortium (MAGIC)",table,direct,Table 2 of NEJM. Grading: Mount_Sinai (MAGIC).
6,2,2,1002,aGVHD,grade_II_IV,D+100,100,Y,Y,212,NR,NR,51.9,44.9,58.4,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Cumulative incidence of grade II-IV acute GVHD at day 100, graded per Mount Sinai (MAGIC)",table,direct,Table 2 of NEJM.
7,1,2,1002,aGVHD,grade_III_IV,D+100,100,Y,Y,208,NR,NR,6.3,3.5,10.2,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Cumulative incidence of grade III or IV acute GVHD at day 100, graded per Mount Sinai (MAGIC)",table,direct,Table 2 / Fig 2B. Locked decision 5: extract both II-IV and III-IV with is_primary_timepoint=Y.
8,2,2,1002,aGVHD,grade_III_IV,D+100,100,Y,Y,212,NR,NR,14.7,10.3,19.8,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Cumulative incidence of grade III or IV acute GVHD at day 100, graded per Mount Sinai (MAGIC)",table,direct,Table 2 / Fig 2B.
9,1,2,1002,cGVHD,any_NIH,D+365_1yr,365,N,N,208,43,NR,21.9,16.4,27.9,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Cumulative incidence of chronic GVHD at 12 months (any cGVHD warranting systemic immune suppression). Severity per NIH 2014 Consensus Development Project Criteria. Event count = 208 - 164 (no cGVHD) = 44; alternatively sum of mild+moderate+severe = 29+11+3 = 43.,table,direct,Cumulative incidence of any cGVHD. Event count 43 derived from text (29 mild + 11 moderate + 3 severe). The CI of 21.9% is for any cGVHD; specific moderate/severe NIH CI not reported.
10,2,2,1002,cGVHD,any_NIH,D+365_1yr,365,N,N,212,71,NR,35.1,28.7,41.6,Aalen_Johansen,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Cumulative incidence of chronic GVHD at 12 months. Severity per NIH 2014. Event count = 36 mild + 24 moderate + 11 severe = 71.,table,direct,"Standard arm: 139 no cGVHD; among 73 with cGVHD: mild 36, moderate 24, severe 11."
11,1,2,1002,cGVHD,moderate_severe_NIH,D+365_1yr,365,Y,Y,208,14,6.7,NR,NR,NR,crude_proportion,NR,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Maximum severity of chronic GVHD through 12 months per NIH 2014 Consensus Development Project Criteria: moderate (n=11) + severe (n=3) = 14.,narrative_text,derived,Derived from narrative text and Table S9 reference. No cumulative incidence with CI reported for moderate/severe specifically. Crude proportion 14/208 = 6.7%.
12,2,2,1002,cGVHD,moderate_severe_NIH,D+365_1yr,365,Y,Y,212,35,16.5,NR,NR,NR,crude_proportion,NR,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Maximum severity of chronic GVHD through 12 months per NIH 2014: moderate (n=24) + severe (n=11) = 35.,narrative_text,derived,Crude proportion 35/212 = 16.5%. No cumulative incidence with CI reported.
13,1,2,1002,overall_mortality,OS_event,D+365_1yr,365,Y,Y,208,48,NR,23,17.9,29.2,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,"Adjusted overall survival at 1 year = 77.0% (95% CI 70.8-82.1). OS event = 1 - OS = 23.0% (CI 17.9-29.2). Event count 48 (from Table 3 cause of death column, total deaths in experimental arm by ITT).",table,back_calculated,"Cumulative incidence calculated as 100 - OS%. Per spec, also report as CI = 100 - OS%. CI bounds reversed. Death count 48 is total ITT deaths in exp arm per Table 3."
14,2,2,1002,overall_mortality,OS_event,D+365_1yr,365,Y,Y,212,56,NR,27.8,22.4,34.3,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,Adjusted overall survival at 1 year = 72.2% (95% CI 65.7-77.6). OS event = 100 - 72.2 = 27.8%.,table,back_calculated,Death count 56 = total deaths in std arm ITT per Table 3.
15,1,2,1002,infection_related_mortality,IRM_any_cause_infectious,D+365_1yr,365,Y,Y,214,8,3.7,NR,NR,NR,crude_proportion,NR,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Cause of death = infection. Table 3: 8/48 deaths (17%) attributed to infection in experimental arm (ITT). Crude proportion of deaths from infection in arm: 8/214.,table,direct,Table 3 of NEJM. Denominator = ITT arm N. Cumulative incidence with CI not reported.
16,2,2,1002,infection_related_mortality,IRM_any_cause_infectious,D+365_1yr,365,Y,Y,217,10,4.6,NR,NR,NR,crude_proportion,NR,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Cause of death = infection. Table 3: 10/56 deaths (18%) attributed to infection in standard arm (ITT).,table,direct,Table 3 of NEJM.
17,1,2,1002,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,208,2,1,NR,NR,NR,crude_proportion,NR,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Primary graft failure deaths in experimental arm: 2/48 (4% of deaths). Treated as proxy for primary graft failure count - main paper text/Table 3 reports 2 deaths from primary graft failure in exp arm and 0 in std arm. Median time to neutrophil recovery 16 days; cumulative incidence of neutrophil recovery at day 28 = 90.3% (CI 85.3-93.6).,table,derived,Table 3: 2/48 deaths from primary graft failure. The main paper only mentions these via Table 3 causes of death; broader engraftment failure counts likely in Supplementary Appendix Table S10.
18,2,2,1002,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,212,0,0,NR,NR,NR,crude_proportion,NR,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Primary graft failure deaths in standard arm: 0/56 deaths (Table 3). Median time to neutrophil recovery 16 days; cumulative incidence of neutrophil recovery at day 28 = 93.4% (CI 89.0-96.1).,table,derived,Table 3: 0/56 deaths from primary graft failure in std arm.
19,1,2,1002,other_infection,EBV_PTLD,D+365_1yr,365,Y,Y,208,1,0.5,NR,NR,NR,crude_proportion,NR,NR,NR,NR,NA,NR,NR,NA,NR,NA,308,clinical_only,NR,Epstein-Barr virus-positive lymphoproliferative disorder developed in 1 patient in the experimental-prophylaxis group 308 days after transplantation.,narrative_text,direct,Single PTLD case at D+308.
20,2,2,1002,other_infection,EBV_PTLD,D+365_1yr,365,Y,Y,212,0,0,NR,NR,NR,crude_proportion,NR,NR,NR,NR,NA,NR,NR,NA,NR,NA,NA,clinical_only,NR,No EBV-PTLD cases reported in standard arm.,narrative_text,direct,"Inferred from narrative which states only 1 case overall, in experimental arm."
21,3,4,1001,CMV,any_reactivation,D+100,100,Y,Y,757,NR,NR,40,35,45,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,38,NR,NR,CMV infection was defined as blood stream only (DNAemia) +/- tissue-invasive (end-organ) disease. The term 'CMV reactivation' is not used in this study as some patients have primary infection.,narrative_text,direct,99% CIs reported (a=0.01). Median time to CMV infection 38 days (range 2-176).
22,4,4,1001,CMV,any_reactivation,D+100,100,Y,Y,403,NR,NR,36,30,42,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,32,NR,NR,"CMV DNAemia +/- organ disease, CIBMTR comprehensive form reporting",narrative_text,direct,99% CIs. Median time to CMV 32 days (5-136).
23,5,4,1001,CMV,any_reactivation,D+100,100,Y,Y,1605,NR,NR,21,18,24,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,42,NR,NR,CMV DNAemia +/- organ disease,narrative_text,direct,Reference comparator arm. 99% CIs. Median time to CMV 42 days (4-176).
24,3,4,1001,CMV,any_reactivation,D+180,180,N,Y,757,NR,NR,42,37,46,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,38,NR,NR,CMV DNAemia +/- organ disease by day 180,narrative_text,direct,Sensitivity timepoint. 99% CIs.
25,4,4,1001,CMV,any_reactivation,D+180,180,N,Y,403,NR,NR,37,31,43,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,32,NR,NR,CMV DNAemia +/- organ disease by day 180,narrative_text,direct,Sensitivity timepoint.
26,5,4,1001,CMV,any_reactivation,D+180,180,N,Y,1605,NR,NR,23,20,26,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,42,NR,NR,CMV DNAemia +/- organ disease by day 180,narrative_text,direct,Reference comparator. Sensitivity timepoint.
27,3,4,1001,CMV,CMV_end_organ_disease,D+100,100,N,Y,757,NR,NR,2.8,1.4,4.6,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,NR,NR,CMV organ disease (tissue-invasive disease as reported on CIBMTR forms); includes gastrointestinal and pulmonary involvement,narrative_text,direct,24 of 757 reported CMV organ involvement by end of follow-up (3%); D+100 CI 2.8% (99% CI 1.4-4.6).
28,4,4,1001,CMV,CMV_end_organ_disease,D+100,100,N,Y,403,NR,NR,3.4,1.4,6.2,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,NR,NR,CMV organ disease,narrative_text,direct,14 of 403 (3%) overall. D+100 CI 3.4%.
29,5,4,1001,CMV,CMV_end_organ_disease,D+100,100,N,Y,1605,NR,NR,1.4,0.7,2.3,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,NR,NR,CMV organ disease,narrative_text,direct,32 of 1605 (2%) overall.
30,6,5,1004,BSI,any_pathogen,D+100,100,Y,N,75,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NR,12.2,per_1000_pt_days,NR,patient_days,NR,clinical_only,NR,"Bacterial infections necessitating treatment (any bacterial infection, not BSI-specific). Infection density reported as events per 1000 patient-days. Total infections = any bacterial, viral, or fungal infection necessitating treatment.",table,direct,"Paper reports 'bacterial' infection density, not bloodstream-specific. Mapped to BSI category as closest available proxy per pilot instructions; FLAG for protocol amendment - definitional mismatch with BSI primary definition. Bacterial 0-100 days = 12.2 per 1000 patient-days (Table 3)."
