model,k,OR,lo,hi,tau,max_rhat,unresolved
c1_rrm — published,38,0.8436189486061558,0.7621852614984781,0.9329441949927346,0.44644585360779043,1.0011821537782135,1
c1_rrm — deduplicated,34,0.8647050248636374,0.7682842626657779,0.9742013114046705,0.4736535564737687,1.0015221149828801,1
c2_os — published,10,0.8148005858537417,0.7361756518332566,0.9023905507884629,0.4840912603872682,1.001095039203749,0
c2_os — deduplicated,9,0.8309774936034424,0.7525925041044966,0.916317146691935,0.4981814134047342,1.0018680719977724,0
c2_agvhd — published,9,0.5809388684724548,0.44127551440484813,0.7669692033329778,0.5113874295380803,1.001976697357632,0
c2_agvhd — deduplicated,8,0.6274781415492834,0.4686321426437353,0.8341977235609946,0.5341534072201435,1.0012766319157511,0
c2_cmv — published,13,0.9160937098373275,0.7261810918399937,1.1497518719596584,0.611981210541066,1.0019550882927712,0
c2_cmv — deduplicated,12,0.972904016061609,0.7736349652031649,1.23260788963112,0.6336220269818826,1.0021893794047112,0
c2_sens_os — published,21,0.7405867312327097,0.6638513172791979,0.8267885306320284,0.870608407236513,1.002705776552392,0
c2_sens_os — deduplicated,20,0.7593634686801735,0.6797688627145233,0.847448719973318,0.8639278778252966,1.0037214247079076,0
c2_sens_agvhd — published,14,0.7764139564802497,0.611238430925472,0.9847956138124488,0.5078403935897646,1.0018592010407306,0
c2_sens_agvhd — deduplicated,13,0.8315904425456615,0.6514208322521108,1.0567986265656844,0.5024267903920907,1.0015121509387466,0
c2_sens_cmv — published,22,0.999024288052528,0.850791913545533,1.1766628241719328,0.6699769687356489,1.0029666902018126,0
c2_sens_cmv — deduplicated,21,1.0403642724681714,0.8789451625103111,1.2304998789976347,0.6946822734282829,1.0018302258931784,0
