"slug","model","k","n_total","or_median","ci_low","ci_high","tau"
"c1_os","m1",40,19724,0.787717935511034,0.72780300590142,0.853002011730063,0.6142327385858
"c1_os","m2_steroid",40,19724,0.856790852128486,0.76542135487564,0.956278436870761,0.584589530536147
"c1_nrm","m1",12,1309,0.8830511071047,0.661144496089341,1.17732593748393,0.720384945139654
"c1_nrm","m2_steroid",12,1309,0.900764147629826,0.588132120650725,1.35871227255503,0.598308351572101
"c1_agvhd","m1",28,4197,0.674979676175271,0.586572831169598,0.778435674488474,0.679528596739718
"c1_cmv","m1",22,3328,1.25788913955876,1.0745523467877,1.46906453006483,0.744714396334927
"c1_cmv","m2_steroid",22,3328,1.24741841255137,1.01016130152234,1.5354330159266,0.763932377396484
"c1_bsi","m1",6,806,1.86992699924767,1.32699699138977,2.62329762083063,0.958388621254994
"c1_ifi_any","m1",6,2243,0.43383819231328,0.292904278078267,0.633462585662981,1.6361693731381
"c2_os","m1",10,12851,0.814614911345711,0.736175650952921,0.902390550696084,0.51401161081667
"c2_os","m2_steroid",10,12851,0.816019691055155,0.706985620837736,0.938524216578708,0.697569156202052
"c2_agvhd","m1",9,1099,0.581994015359019,0.441275512065456,0.766969202159284,0.5472239763897
"c2_cmv","m1",13,1571,0.915028158033013,0.726181091454994,1.14975187192482,0.639920332611791
"c2_cmv","m2_steroid",13,1571,0.982393729803586,0.778380488718808,1.24398385781929,0.738490714121844
"c3_os","m1",6,4746,1.11400366538811,0.953728097729682,1.30149234959027,0.92189638507452
"c3_nrm","m1",5,2529,0.962273854917092,0.744324025553415,1.24113050872955,1.2215183936294
"c3_agvhd","m1",7,2450,1.00387709660588,0.801650867854353,1.25464762161666,0.823924859995677
"c3_cgvhd","m1",4,383,0.668955933434817,0.393064272716718,1.13724261746774,0.414551768241859
"c1_rrm","m1",38,19225,0.843608469419304,0.762185261498362,0.932944194939924,0.452784748692479
"c1_rrm","m2_steroid",38,19225,0.826697961040898,0.730849221740222,0.93388828913806,0.520186051880983
"c2_rrm","m1",10,17182,0.786955681202329,0.691538728986422,0.891460319062981,0.163540755860367
"c3_rrm","m1",6,692,0.797496598379004,0.496331643351527,1.26758915521154,0.394925539390688
"c1_bk","m1",11,1333,2.47567920341735,1.82294542998776,3.38450671831448,1.05895334038928
"c2_bk","m1",3,313,2.43599183686514,1.396214407776,4.25933127904792,0.568314378069354
"c1_irm","m1",16,8214,1.35099473541255,1.16209095435641,1.56986080684118,0.837488483563778
"c2_irm","m1",7,13346,0.89504791303618,0.735644818517393,1.09216114114821,0.581595691809737
"c1_cgvhd_ms","m1",21,12493,0.327908421117678,0.292564769940643,0.364676883139118,0.711587906939895
"c2_cgvhd_ms","m1",6,905,0.793643363295735,0.548183363708458,1.14074207869246,0.890586497236856
"c1_cgvhd_any","m1",8,1732,0.232997879465551,0.181458846516183,0.29718348143749,0.516496429937214
