study_id,comparison,category,subtype,timepoint_used,tp_early,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_steroid_pct,comp_steroid_pct
6,1,aGVHD,grade_II_IV,D+100,0,10,11,68,97,26,52,60,80
49,1,aGVHD,grade_II_IV,D+100,0,50,51,93,81,54,42,58,52
86,1,aGVHD,grade_II_IV,D+100,0,101,102,22,37,4,12,18,32
88,1,aGVHD,grade_II_IV,D+100,0,104,105,40,40,6,13,15,39.8
119,1,aGVHD,grade_II_IV,D+100,0,137,138,34,34,4,17,13,50
133,1,aGVHD,grade_II_IV,D+100,0,151,152,30,47,4,14,14,26
166,1,aGVHD,grade_II_IV,D+100,0,172,173,30,31,5,8,16.7,25.8
178,1,aGVHD,grade_II_IV,D+100,0,184,185,118,76,45,22,26.3,31.6
180,1,aGVHD,grade_II_IV,D+100,0,188,189,29,87,5,30,17.2,34.5
198,1,aGVHD,grade_II_IV,D+100,0,206,207,15,25,2,7,13.3,28
201,1,aGVHD,grade_II_IV,D+100,0,208,209,59,68,30,45,39,47.1
207,1,aGVHD,grade_II_IV,D+100,0,212,213,21,21,4,5,33.3,66.7
209,1,aGVHD,grade_II_IV,D+100,0,216,217,57,50,12,25,22.6,52.2
216,1,aGVHD,grade_II_IV,D+100,0,220,221,55,75,10,13,18.4,19.32
248,1,aGVHD,grade_II_IV,D+100,0,254,255,67,30,16,9,24,30
261,1,aGVHD,grade_II_IV,D+100,0,271,272,91,38,17,4,19,11
271,1,aGVHD,grade_II_IV,D+100,0,285,284,176,276,88,142,50,51
320,1,aGVHD,grade_II_IV,D+100,0,346,347,28,59,4,22,14,37
321,1,aGVHD,grade_II_IV,D+100,0,348,349,81,58,22,40,27.2,69
325,1,aGVHD,grade_II_IV,D+100,0,355,356,519,153,181,68,34.9,44.4
357,1,aGVHD,grade_II_IV,D+100,0,394,395,89,90,2,15,NA,NA
359,1,aGVHD,grade_II_IV,D+100,0,398,399,75,75,8,11,10.7,14.7
375,1,aGVHD,grade_II_IV,D+100,0,414,415,27,28,8,8,29.6,39.3
379,1,aGVHD,grade_II_IV,D+100,0,416,417,44,414,30,254,68,61
389,1,aGVHD,grade_II_IV,D+100,0,429,430,52,29,16,11,30.8,37.9
424,1,aGVHD,grade_II_IV,D+100,0,471,472,36,71,6,19,16.7,26.8
432,1,aGVHD,grade_II_IV,D+100,0,482,483,24,14,3,5,12.5,35.7
45,1,aGVHD,grade_II_IV,D+180,1,46,47,54,59,34,32,63,53
