study_id,comparison,category,subtype,timepoint_used,tp_early,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_steroid_pct,comp_steroid_pct
45,1,other_infection,BK_hemorrhagic_cystitis,D+100,0,46,47,54,59,19,12,63,53
105,1,other_infection,BK_hemorrhagic_cystitis,D+100,0,120,121,61,68,0,0,NA,NA
141,1,other_infection,BK_hemorrhagic_cystitis,D+100,0,161,162,188,43,38,1,NA,NA
167,1,other_infection,BK_hemorrhagic_cystitis,D+100,0,174,175,16,16,6,1,13,50
197,1,other_infection,BK_hemorrhagic_cystitis,D+100,0,204,205,49,119,22,21,NA,NA
198,1,other_infection,BK_hemorrhagic_cystitis,D+100,0,206,207,15,25,1,3,13.3,28
261,1,other_infection,BK_hemorrhagic_cystitis,D+100,0,271,272,91,38,21,5,19,11
380,1,other_infection,BK_hemorrhagic_cystitis,D+100,0,419,420,72,73,25,10,40,42
201,1,other_infection,BK_hemorrhagic_cystitis,D+180,1,208,209,59,68,18,18,39,47.1
375,1,other_infection,BK_hemorrhagic_cystitis,D+180,1,414,415,27,28,4,5,29.6,39.3
5,1,other_infection,BK_hemorrhagic_cystitis,D+365_1yr,1,6,8,75,89,17,8,NA,NA
