"study_id","first_author","pub_year","timepoint","tp_early","ptcy_arm_id","comp_arm_id","ptcy_n","comp_n","ptcy_e","comp_e","ptcy_steroid_pct","comp_steroid_pct"
2,"Bolanos-Meade J",2023,"D+365_1yr",1,1,2,208,212,14,35,"NR","NR"
6,"Meyer T",2025,"D+365_1yr",1,10,11,68,97,16,51,"60","80"
20,"Ahn J",2025,"D+365_1yr",1,29,30,26,52,0,6,"NR","NR"
45,"Baker M",2016,"D+730_2yr",0,46,47,54,59,14,12,"63","53"
88,"Cao J",2022,"D+365_1yr",1,104,105,40,40,1,5,"15","39.8"
133,"Esquirol A",2020,"D+730_2yr",0,151,152,30,47,1,7,"14","26"
166,"Guo W",2026,"D+730_2yr",0,172,173,30,31,2,8,"16.7","25.8"
180,"Iqbal M",2023,"D+730_2yr",0,188,189,29,87,5,42,"17.2","34.5"
198,"Kara",2021,"D+365_1yr",1,206,207,14,20,3,5,"13.3","28"
208,"Kwon M",2017,"D+730_2yr",0,215,214,36,51,14,10,"29","9.8"
209,"Kwon M",2019,"D+730_2yr",0,216,217,57,50,8,13,"22.6","52.2"
246,"Mehta RS",2026,"D+730_2yr",0,251,250,2294,7272,264,2360,"NR","NR"
261,"Montoro J",2021,"D+730_2yr",0,271,272,91,38,29,1,"19","11"
271,"Mushtaq MU",2024,"D+365_1yr",1,285,284,176,276,62,125,"50","51"
320,"Redondo S",2023,"D+365_1yr",1,346,347,28,59,4,22,"14","37"
321,"Redondo S",2024,"D+365_1yr",1,348,349,81,58,5,20,"27.2","69"
359,"Shouman MT",2023,"D+365_1yr",1,398,399,67,57,9,9,"10.7","14.7"
375,"Tischer J",2015,"end_of_followup",0,414,415,27,28,2,2,"29.6","39.3"
379,"Ueda Oshima M",2023,"D+365_1yr",1,416,417,44,414,14,221,"68","61"
424,"Hassan K",2025,"D+730_2yr",0,471,472,36,71,8,35,"16.7","26.8"
432,"Koura D",2025,"D+365_1yr",1,482,483,24,14,0,8,"12.5","35.7"
