"study_id","comparison","category","subtype","timepoint_used","tp_early","ptcy_arm_id","comp_arm_id","ptcy_n","comp_n","ptcy_e","comp_e","ptcy_steroid_pct","comp_steroid_pct","pub_year","donor_haplo_pct"
5,1,"CMV","any_reactivation","end_of_followup",1,6,8,75,89,38,23,NA,NA,2021,100
45,1,"CMV","any_reactivation","D+100",0,46,47,54,59,25,27,63,53,2016,100
88,1,"CMV","any_reactivation","D+180",1,104,105,40,40,30,27,15,39.8,2022,100
119,1,"CMV","any_reactivation","D+100",0,137,138,22,22,14,12,13,50,2019,100
144,1,"CMV","any_reactivation","end_of_followup",1,165,166,117,39,28,10,21.4,23.1,2025,100
166,1,"CMV","any_reactivation","D+100",0,172,173,30,31,18,15,16.7,25.8,2026,100
167,1,"CMV","any_reactivation","end_of_followup",1,174,175,8,11,3,2,13,50,2023,100
201,1,"CMV","any_reactivation","D+180",1,208,209,59,68,45,47,39,47.1,2021,100
219,1,"CMV","any_reactivation","end_of_followup",1,224,225,80,500,62,267,NA,NA,2025,100
375,1,"CMV","any_reactivation","D+180",1,414,415,13,21,4,12,29.6,39.3,2015,100
389,1,"CMV","any_reactivation","end_of_followup",1,429,430,52,29,26,14,30.8,37.9,2022,100
396,1,"CMV","any_reactivation","D+100",0,441,440,122,230,65,136,28.7,28.6,2025,100
