"study_id","comparison","category","subtype","timepoint_used","tp_early","ptcy_arm_id","comp_arm_id","ptcy_n","comp_n","ptcy_e","comp_e","ptcy_steroid_pct","comp_steroid_pct","pub_year","donor_haplo_pct"
5,1,"CMV","any_reactivation","end_of_followup",1,6,8,75,89,38,23,NA,NA,2021,100
88,1,"CMV","any_reactivation","D+180",1,104,105,40,40,30,27,15,39.8,2022,100
104,1,"CMV","any_reactivation","end_of_followup",1,118,119,29,19,19,9,NA,NA,2021,0
144,1,"CMV","any_reactivation","end_of_followup",1,165,166,117,39,28,10,21.4,23.1,2025,100
166,1,"CMV","any_reactivation","D+100",0,172,173,30,31,18,15,16.7,25.8,2026,100
167,1,"CMV","any_reactivation","end_of_followup",1,174,175,8,11,3,2,13,50,2023,100
180,1,"CMV","any_reactivation","end_of_followup",1,188,189,29,87,3,21,17.2,34.5,2023,0
183,1,"CMV","any_reactivation","D+100",0,191,190,103,94,40,27,33,35,2022,0
198,1,"CMV","any_reactivation","end_of_followup",1,206,207,15,25,4,15,13.3,28,2021,0
201,1,"CMV","any_reactivation","D+180",1,208,209,59,68,45,47,39,47.1,2021,100
207,1,"CMV","any_reactivation","end_of_followup",1,212,213,21,21,9,6,33.3,66.7,2020,0
219,1,"CMV","any_reactivation","end_of_followup",1,224,225,80,500,62,267,NA,NA,2025,100
336,1,"CMV","any_reactivation","end_of_followup",1,368,369,65,338,37,106,32,25,2024,0
359,1,"CMV","any_reactivation","end_of_followup",1,398,399,75,75,18,10,10.7,14.7,2023,0
389,1,"CMV","any_reactivation","end_of_followup",1,429,430,52,29,26,14,30.8,37.9,2022,100
396,1,"CMV","any_reactivation","D+100",0,441,440,122,230,65,136,28.7,28.6,2025,100
432,1,"CMV","any_reactivation","end_of_followup",1,482,483,25,15,4,2,12.5,35.7,2025,0
