study_id,comparison,category,subtype,timepoint_used,tp_early,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_steroid_pct,comp_steroid_pct
2,1,overall_mortality,OS_event,D+365_1yr,0,1,2,208,212,48,56,NA,NA
6,1,overall_mortality,OS_event,D+365_1yr,0,10,11,68,97,26,29,60,80
20,1,overall_mortality,OS_event,D+365_1yr,0,29,30,26,52,4,11,NA,NA
67,1,overall_mortality,OS_event,D+365_1yr,0,78,79,41,20,22,8,NA,NA
178,1,overall_mortality,OS_event,D+365_1yr,0,184,185,118,76,33,18,26.3,31.6
198,1,overall_mortality,OS_event,D+365_1yr,0,206,207,15,25,1,9,13.3,28
260,1,overall_mortality,OS_event,D+365_1yr,0,269,270,46,191,5,66,13,28.4
271,1,overall_mortality,OS_event,D+365_1yr,0,285,284,176,276,45,75,50,51
320,1,overall_mortality,OS_event,D+365_1yr,0,346,347,28,59,4,17,14,37
357,1,overall_mortality,OS_event,D+365_1yr,0,394,395,89,90,17,19,NA,NA
432,1,overall_mortality,OS_event,D+365_1yr,0,482,483,25,15,2,3,12.5,35.7
8,1,overall_mortality,OS_event,D+730_2yr,1,17,18,403,1605,179,753,NA,NA
9,1,overall_mortality,OS_event,D+730_2yr,1,19,20,200,130,63,46,NA,NA
52,1,overall_mortality,OS_event,D+730_2yr,1,58,59,270,209,79,91,29.2,44.4
65,1,overall_mortality,OS_event,D+730_2yr,1,75,74,40,39,10,20,7,39
88,1,overall_mortality,OS_event,D+730_2yr,1,104,105,40,40,14,17,15,39.8
118,1,overall_mortality,OS_event,D+730_2yr,1,135,136,280,902,84,441,31.6,36
119,1,overall_mortality,OS_event,D+730_2yr,1,137,138,34,34,15,12,13,50
144,1,overall_mortality,OS_event,D+730_2yr,1,165,166,117,39,14,4,21.4,23.1
166,1,overall_mortality,OS_event,D+730_2yr,1,172,173,30,31,5,7,16.7,25.8
180,1,overall_mortality,OS_event,D+730_2yr,1,188,189,29,87,6,34,17.2,34.5
183,1,overall_mortality,OS_event,D+730_2yr,1,191,190,103,94,57,41,33,35
184,1,overall_mortality,OS_event,D+730_2yr,1,193,194,87,40,17,9,9.2,12.3
216,1,overall_mortality,OS_event,D+730_2yr,1,220,221,55,75,2,10,18.4,19.32
261,1,overall_mortality,OS_event,D+730_2yr,1,271,272,91,38,17,17,19,11
263,1,overall_mortality,OS_event,D+730_2yr,1,275,276,489,211,207,82,24.4,31.4
281,1,overall_mortality,OS_event,D+730_2yr,1,303,304,402,5648,97,1619,21.2,20.4
287,1,overall_mortality,OS_event,D+730_2yr,1,309,310,118,1202,29,351,25.2,22.9
296,1,overall_mortality,OS_event,D+730_2yr,1,319,320,169,688,88,401,29.6,36.1
325,1,overall_mortality,OS_event,D+730_2yr,1,355,356,544,165,178,64,34.9,44.4
338,1,overall_mortality,OS_event,D+730_2yr,1,373,374,95,177,22,69,NA,NA
390,1,overall_mortality,OS_event,D+730_2yr,1,431,432,114,125,16,27,26,36
395,1,overall_mortality,OS_event,D+730_2yr,1,438,439,157,140,19,23,16.6,31.6
399,1,overall_mortality,OS_event,D+730_2yr,1,446,447,241,848,69,265,25,36
401,1,overall_mortality,OS_event,D+730_2yr,1,448,449,157,140,19,23,16.6,31.6
407,1,overall_mortality,OS_event,D+730_2yr,1,450,451,121,91,61,42,35.6,47.3
45,1,overall_mortality,OS_event,end_of_followup,1,46,47,54,59,32,37,63,53
104,1,overall_mortality,OS_event,end_of_followup,1,118,119,49,41,11,20,NA,NA
167,1,overall_mortality,OS_event,end_of_followup,1,174,175,16,16,9,9,13,50
396,1,overall_mortality,OS_event,end_of_followup,1,441,440,122,230,41,37,28.7,28.6
