study_id,comparison,category,subtype,timepoint_used,tp_early,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_steroid_pct,comp_steroid_pct
2,1,relapse_related_mortality,RRM_any_cause_relapse,D+365_1yr,0,1,2,214,217,19,24,NA,NA
357,1,relapse_related_mortality,RRM_any_cause_relapse,D+365_1yr,0,394,395,89,90,3,5,NA,NA
432,1,relapse_related_mortality,RRM_any_cause_relapse,D+365_1yr,0,482,483,25,15,2,1,12.5,35.7
9,1,relapse_related_mortality,RRM_any_cause_relapse,D+730_2yr,1,19,20,200,130,27,27,NA,NA
226,1,relapse_related_mortality,RRM_any_cause_relapse,D+730_2yr,1,229,230,109,114,13,22,37.6,29.8
280,1,relapse_related_mortality,RRM_any_cause_relapse,D+730_2yr,1,301,302,707,6342,110,1123,23.9,25.2
5,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,6,8,75,89,12,7,NA,NA
6,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,10,11,68,97,9,24,60,80
19,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,27,28,139,457,24,110,45,30
45,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,46,47,54,59,16,19,63,53
50,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,54,55,78,40,19,8,34.6,57.5
51,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,56,57,78,40,19,8,34.6,57.5
52,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,58,59,270,209,47,47,29.2,44.4
65,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,75,74,40,39,8,6,7,39
71,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,80,81,31,47,6,5,23,21
88,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,104,105,40,40,7,11,15,39.8
104,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,118,119,49,41,7,7,NA,NA
105,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,120,121,66,68,8,9,NA,NA
111,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,130,128,78,210,20,39,16,40.6
119,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,137,138,34,34,9,8,13,50
140,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,159,160,182,186,46,55,28,35
166,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,172,173,30,31,1,3,16.7,25.8
184,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,193,194,87,40,5,7,9.2,12.3
207,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,212,213,21,21,4,1,33.3,66.7
248,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,254,255,67,30,4,5,24,30
261,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,271,272,91,38,6,6,19,11
271,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,285,284,176,276,22,35,50,51
301,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,328,329,64,205,6,13,45,59
305,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,334,335,64,121,4,15,41,26
318,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,344,345,415,1414,35,137,24,21
325,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,355,356,544,165,71,30,34.9,44.4
335,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,366,367,88,73,13,17,18.2,26
371,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,410,411,44,176,3,16,18.2,26.7
389,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,429,430,52,29,4,3,30.8,37.9
391,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,433,434,393,1627,64,293,NA,NA
396,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,441,440,122,230,10,19,28.7,28.6
399,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,446,447,241,848,22,86,25,36
407,1,relapse_related_mortality,RRM_any_cause_relapse,end_of_followup,1,450,451,121,91,30,16,35.6,47.3
