study_id,timepoint_used,tp_early,ptcy_arm_id,comp_arm_id,ptcy_e,ptcy_n,comp_e,comp_n
6,D+100,0,10,12,26,68,80,280
49,D+100,0,50,51,54,93,42,81
66,D+100,0,76,77,7,28,14,28
86,D+100,0,101,102,4,22,12,37
88,D+100,0,104,105,6,40,13,40
122,D+100,0,143,144,19,110,11,35
124,D+100,0,149,150,5,23,22,37
166,D+100,0,172,173,5,30,8,31
178,D+100,0,184,185,45,118,22,76
216,D+100,0,220,221,10,55,13,75
299,D+100,0,323,324,3,22,19,40
397,D+100,0,444,445,8,44,4,22
430,D+180,1,478,479,4,16,8,20
460,D+180,1,516,517,5,31,14,36
