study_id,timepoint_used,tp_early,ptcy_arm_id,comp_arm_id,ptcy_e,ptcy_n,comp_e,comp_n
66,D+100,0,76,77,17,28,23,28
166,D+100,0,172,173,18,30,15,31
363,D+100,0,403,404,7,22,23,58
366,D+100,0,407,406,39,73,23,74
396,D+100,0,441,440,65,122,136,230
397,D+100,0,444,445,4,44,2,22
464,D+100,0,522,523,27,53,24,51
88,D+180,1,104,105,30,40,27,40
430,D+180,1,478,479,12,16,14,20
6,D+365_1yr,1,10,12,17,40,76,156
75,D+365_1yr,1,87,88,4,41,33,93
124,D+365_1yr,1,148,150,54,114,25,37
137,D+365_1yr,1,156,158,194,330,36,74
216,D+365_1yr,1,220,221,28,55,36,75
122,end_of_followup,1,143,144,51,110,24,35
136,end_of_followup,1,154,155,46,82,41,89
167,end_of_followup,1,174,176,3,8,0,8
254,end_of_followup,1,262,263,5,25,22,51
299,end_of_followup,1,323,324,12,22,16,28
336,end_of_followup,1,368,369,37,65,106,338
431,end_of_followup,1,480,481,17,32,31,46
460,end_of_followup,1,516,517,13,31,23,36
