Outcome,Comparison,k_pre,k_post,OR_pre,OR_post,CrI_pre,CrI_post,shift
OS,C1,35,40,0.77,0.79,0.71-0.83,0.73-0.85,0.02
OS M2,C1,35,40,0.83,0.86,0.75-0.92,0.77-0.96,0.03
NRM,C1,15,12,0.86,0.88,0.70-1.08,0.66-1.18,0.02
NRM M2,C1,15,12,1.02,0.9,0.79-1.33,0.59-1.36,-0.12
aGVHD,C1,24,28,0.63,0.67,0.54-0.74,0.59-0.78,0.04
CMV,C1,18,22,1.41,1.26,1.20-1.65,1.07-1.47,-0.15
CMV M2,C1,18,22,1.43,1.25,1.18-1.73,1.01-1.54,-0.18
BSI,C1,6,6,2.39,1.87,1.85-3.10,1.33-2.62,-0.52
IFI,C1,8,6,0.73,0.43,0.53-1.00,0.29-0.63,-0.3
OS,C2,10,12,0.69,0.84,0.61-0.78,0.76-0.93,0.15
OS M2,C2,10,12,0.78,0.88,0.68-0.90,0.77-1.00,0.1
NRM,C2,5,3,0.65,0.63,0.43-0.97,0.30-1.31,-0.02
aGVHD,C2,6,9,0.59,0.58,0.42-0.84,0.44-0.77,-0.01
CMV,C2,12,12,0.77,1.04,0.60-0.99,0.83-1.30,0.27
CMV M2,C2,12,12,0.82,1.23,0.64-1.05,0.94-1.61,0.41
