slug,model,k,n_total,or_median,ci_low,ci_high,tau,source
c1_agvhd,m1,28,4197,0.674979676175271,0.586572831169598,0.778435674488474,0.6670596283483441,unchanged
c1_bk,m1,11,1333,2.47567920341735,1.82294542998776,3.38450671831448,0.9990599316895445,unchanged
c1_bsi,m1,6,806,1.86992699924767,1.32699699138977,2.62329762083063,0.8769372149239777,unchanged
c1_cgvhd_any,m1,8,1732,0.232997879465551,0.181458846516183,0.29718348143749,0.5164964299372141,unchanged
c1_cgvhd_ms,m1,19,2840,0.46515494013675984,0.38035997831703383,0.5667511240241851,0.7657331996182342,"Set B (deduplicated, spec corrected)"
c1_cmv,m1,22,3328,1.25788913955876,1.0745523467877,1.46906453006483,0.7288053310859631,unchanged
c1_cmv,m2_steroid,22,3328,1.24741841255137,1.01016130152234,1.5354330159266,0.7443078114713446,unchanged
c1_ifi_any,m1,6,2243,0.43383819231328,0.292904278078267,0.633462585662981,1.5312170809132168,unchanged
c1_irm,m1,13,5504,1.1930247890177827,0.997374010014204,1.4303253885177625,0.8220802337648243,Set B (deduplicated)
c1_nrm,m1,12,1309,0.8830511071047,0.661144496089341,1.17732593748393,0.6871403201776413,unchanged
c1_nrm,m2_steroid,12,1309,0.900764147629826,0.588132120650725,1.35871227255503,0.5563969668907417,unchanged
c1_os,m1,35,10133,0.8382434629241031,0.7626690827676424,0.922063429411268,0.6550360306375292,Set B (deduplicated)
c1_os,m2_steroid,28,10133,1.0420495709008375,0.894256636780114,1.2168988377439929,0.598226286476961,Set B (deduplicated)
c1_rrm,m1,34,11121,0.8647050248636374,0.7682842626657779,0.9742013114046704,0.4736535564737687,Set B (deduplicated)
c1_rrm,m2_steroid,27,11121,0.8471957360014557,0.7252340174817435,0.9892212871595276,0.5520353343649274,Set B (deduplicated)
c2_agvhd,m1,8,1039,0.6274781415492834,0.4686321426437353,0.8341977235609946,0.5341534072201435,Set B (deduplicated)
c2_bk,m1,3,313,2.43599183686514,1.396214407776,4.25933127904792,0.3899395869577543,unchanged
c2_cgvhd_ms,m1,6,905,0.793643363295735,0.548183363708458,1.14074207869246,0.8905864972368565,unchanged
c2_cmv,m1,12,1511,0.972904016061609,0.7736349652031649,1.23260788963112,0.6336220269818826,Set B (deduplicated)
c2_cmv,m2_steroid,12,1511,1.0013845320357002,0.7933562478100094,1.2645968889493382,0.7171405467010878,Set B (deduplicated)
c2_irm,m1,7,13346,0.89504791303618,0.735644818517393,1.09216114114821,0.5815956918097369,unchanged
c2_os,m1,9,12791,0.8307004088703012,0.7516835882900017,0.9160021912519098,0.5001312989969995,Set B (deduplicated)
c2_os,m2_steroid,8,12791,0.8050580061851083,0.6954635474781082,0.9273575182579856,0.672001621575518,Set B (deduplicated)
c2_rrm,m1,10,17182,0.786955681202329,0.691538728986422,0.891460319062981,0.13901802031561133,unchanged
c3_agvhd,m1,7,2450,1.00387709660588,0.801650867854353,1.25464762161666,0.7513869437781462,unchanged
c3_cgvhd,m1,4,383,0.668955933434817,0.393064272716718,1.13724261746774,0.3110728692086273,unchanged
c3_nrm,m1,5,2529,0.962273854917092,0.744324025553415,1.24113050872955,1.1069767384980316,unchanged
c3_os,m1,6,4746,1.11400366538811,0.953728097729682,1.30149234959027,0.8415174916328401,unchanged
c3_rrm,m1,6,692,0.797496598379004,0.496331643351527,1.26758915521154,0.3136321304449561,unchanged
