slug,model,k,n_total,or_median,ci_low,ci_high,tau,adapt_delta,divergences,max_rhat
c1_os,m1,35,10133,0.8382434629241031,0.7626690827676424,0.9220634294112681,0.6550360306375292,0.95,0,1.0037238874326229
c1_os,m2,28,10133,1.0420495709008377,0.894256636780114,1.2168988377439927,0.598226286476961,0.95,0,1.0044037954712792
c1_rrm,m1,34,11121,0.8647050248636374,0.7682842626657779,0.9742013114046705,0.4736535564737687,0.95,0,1.0015221149828801
c1_rrm,m2,27,11121,0.8471957360014557,0.7252340174817435,0.9892212871595276,0.5520353343649274,0.95,0,1.0022814243213085
c1_irm,m1,13,5504,1.1930247890177827,0.997374010014204,1.4303253885177625,0.8220802337648243,0.95,0,1.0016897683887347
c1_cgvhd_ms,m1,18,2785,0.4599091179782471,0.37855074493291524,0.5591554160175897,0.7327392710741873,0.95,0,1.0012804246862943
c2_os,m1,9,12791,0.8307004088703012,0.7516835882900017,0.9160021912519098,0.5001312989969995,0.99,0,1.0033444393506736
c2_os,m2,8,12791,0.8050580061851083,0.6954635474781082,0.9273575182579855,0.672001621575518,0.99,0,1.0040544489568992
c2_agvhd,m1,8,1039,0.6274781415492834,0.4686321426437353,0.8341977235609946,0.5341534072201435,0.95,0,1.0012766319157511
c2_cmv,m1,12,1511,0.972904016061609,0.7736349652031649,1.23260788963112,0.6336220269818826,0.95,0,1.0021893794047112
c2_cmv,m2,12,1511,1.0013845320357002,0.7933562478100094,1.2645968889493382,0.7171405467010878,0.95,0,1.0016821131522684
c2_sens_os,m1,20,12388,0.7593634686801735,0.6797688627145233,0.847448719973318,0.8639278778252966,0.95,0,1.0037214247079076
c2_sens_agvhd,m1,13,1478,0.8315904425456615,0.6514208322521108,1.0567986265656844,0.5024267903920907,0.95,0,1.0015121509387466
c2_sens_cmv,m1,21,2852,1.0403642724681714,0.8789451625103111,1.2304998789976347,0.6946822734282829,0.95,0,1.0018302258931784
