study_id,comparison,category,subtype,timepoint_used,tp_early,ptcy_arm_id,comp_arm_id,ptcy_n,comp_n,ptcy_e,comp_e,ptcy_steroid_pct,comp_steroid_pct
2,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,1,2,208,212,14,35,NA,NA
6,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,10,11,68,97,16,51,60,80
20,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,29,30,26,52,0,6,NA,NA
88,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,104,105,40,40,1,5,15,39.8
198,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,206,207,14,20,3,5,13.3,28
271,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,285,284,176,276,62,125,50,51
320,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,346,347,28,59,4,22,14,37
321,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,348,349,81,58,5,20,27.2,69
359,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,398,399,67,57,9,9,10.7,14.7
379,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,416,417,44,414,14,221,68,61
432,1,cGVHD,moderate_severe_NIH,D+365_1yr,0,482,483,24,14,0,8,12.5,35.7
45,1,cGVHD,moderate_severe_NIH,D+730_2yr,1,46,47,54,59,14,12,63,53
133,1,cGVHD,moderate_severe_NIH,D+730_2yr,1,151,152,30,47,1,7,14,26
166,1,cGVHD,moderate_severe_NIH,D+730_2yr,1,172,173,30,31,2,8,16.7,25.8
180,1,cGVHD,moderate_severe_NIH,D+730_2yr,1,188,189,29,87,5,42,17.2,34.5
209,1,cGVHD,moderate_severe_NIH,D+730_2yr,1,216,217,57,50,8,13,22.6,52.2
261,1,cGVHD,moderate_severe_NIH,D+730_2yr,1,271,272,91,38,29,1,19,11
424,1,cGVHD,moderate_severe_NIH,D+730_2yr,1,471,472,36,71,8,35,16.7,26.8
375,1,cGVHD,moderate_severe_NIH,end_of_followup,1,414,415,27,28,2,2,29.6,39.3
