study_id,timepoint_used,tp_early,ptcy_arm_id,comp_arm_id,ptcy_e,ptcy_n,comp_e,comp_n
6,D+365_1yr,0,10,12,26,68,53,280
20,D+365_1yr,0,29,30,4,26,11,52
66,D+365_1yr,0,76,77,11,28,17,28
67,D+365_1yr,0,78,79,22,41,8,20
178,D+365_1yr,0,184,185,33,118,18,76
397,D+365_1yr,0,444,445,1,44,1,22
88,D+730_2yr,1,104,105,14,40,17,40
122,D+730_2yr,1,143,144,43,110,23,35
166,D+730_2yr,1,172,173,5,30,7,31
216,D+730_2yr,1,220,221,2,55,10,75
263,D+730_2yr,1,275,277,207,489,36,99
277,D+730_2yr,1,296,297,159,336,66,98
299,D+730_2yr,1,323,324,3,22,19,40
307,D+730_2yr,1,336,337,255,1039,2506,7725
390,D+730_2yr,1,431,432,16,114,27,125
395,D+730_2yr,1,438,439,19,157,23,140
401,D+730_2yr,1,448,449,19,157,23,140
464,D+730_2yr,1,522,523,12,53,19,51
167,end_of_followup,1,174,176,9,16,9,16
396,end_of_followup,1,441,440,41,122,37,230
