cohort_id,cohort_label,registry_or_source,cohort_n_studies,total_unique_patients,study_id,first_author,pub_year,primary_for_cohort,cohort_overlap_status,overlap_with_study_ids
1024,EBMT_ALWP,EBMT,31,479,221,Lorentino F,2017,partial,partial_overlap,Ruggeri 2017 Haematologica (ref 27) partially overlaps; population overlaps with EBMT ALWP haplo-HSCT studies
1024,EBMT_ALWP,EBMT,31,479,324,Ruggeri A,2017,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,343,Santoro,2017,partial,partial_overlap,EBMT_ALWP_cluster_1024
1024,EBMT_ALWP,EBMT,31,479,217,Li Z,2018,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,344,Santoro,2018,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,57,Battipaglia,2019,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,60,Battipaglia G,2019,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,77,Brissot E,2019,partial,partial_overlap,other EBMT ALWP publications
1024,EBMT_ALWP,EBMT,31,479,345,Santoro N,2019,partial,partial_overlap,EBMT_ALWP_cohort_1024
1024,EBMT_ALWP,EBMT,31,479,61,Battipaglia G,2020,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,78,Brissot,2020,partial,partial_overlap,61
1024,EBMT_ALWP,EBMT,31,479,232,Al Malki,2020,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,118,Dholaria,2021,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,276,Nagler A,2021,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,277,Nagler A,2021,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,62,Battipaglia G,2022,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,287,Nagler A,2022,partial,partial_overlap,other EBMT ALWP papers (cohort 1024)
1024,EBMT_ALWP,EBMT,31,479,325,Ruggeri A,2022,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,151,Giebel S,2023,partial,partial_overlap,EBMT_ALWP_cluster
1024,EBMT_ALWP,EBMT,31,479,278,Nagler A,2023,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,279,Nagler A,2023,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,52,Baron F,2024,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,63,Bazarbachi,2024,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,79,Brissot E,2024,N,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,280,Nagler A,2024,partial,partial_overlap,"EBMT_ALWP cohort 1024 - partial overlap with other EBMT ALWP publications (Ruggeri 2018, Battipaglia 2019, Lorentino 2021, Brissot 2020, Sanz 2020, Battipaglia 2022)"
1024,EBMT_ALWP,EBMT,31,479,281,Nagler A,2024,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,282,Nagler A,2024,partial,partial_overlap,other_EBMT_ALWP_papers
1024,EBMT_ALWP,EBMT,31,479,305,Paviglianiti A,2024,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,323,Ru Y,2025,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,383,Villalba M,2026,partial,partial_overlap,NR
1024,EBMT_ALWP,EBMT,31,479,384,Vydra,2026,partial,partial_overlap,NR
1001,CIBMTR_HaploCy_SibCy_SibCNI,CIBMTR,6,2765,158,Goldsmith SR,2016,N,partial_overlap,"4,8"
1001,CIBMTR_HaploCy_SibCy_SibCNI,CIBMTR,6,2765,4,Goldsmith SR,2021,partial,overlap_superset_of,8
1001,CIBMTR_HaploCy_SibCy_SibCNI,CIBMTR,6,2765,268,Mulroney CM,2021,partial,partial_overlap,other_CIBMTR_HaploCy_SibCy_SibCNI_papers
1001,CIBMTR_HaploCy_SibCy_SibCNI,CIBMTR,6,2765,361,Singh,2022,partial,partial_overlap,Goldsmith_2021_CMV_primary
1001,CIBMTR_HaploCy_SibCy_SibCNI,CIBMTR,6,2765,8,Papanicolaou GA,2024,partial,overlap_subset_of,4
1001,CIBMTR_HaploCy_SibCy_SibCNI,CIBMTR,6,2765,382,Ustun C,2024,partial,overlap_superset_of,Goldsmith 2021 (CMV primary pub of same cohort 1001); Singh 2022 non-CMV herpes; Mulroney 2021 CRV
1009,ABMTRR_older_haplo_AMLMDS,national_registry,4,44,447,Ruggeri A,2018,partial,partial_overlap,52;57;60;61;62;63;77;78;79;118;151;217;221;232;276;277;278;279;280;281;282;287;305;323;324;325;343;344;345;383;384
1009,ABMTRR_older_haplo_AMLMDS,national_registry,4,44,450,Sanz J,2020,partial,partial_overlap,1009_cluster_EBMT_ALWP_AML
1009,ABMTRR_older_haplo_AMLMDS,national_registry,4,44,453,Spyridonidis A,2022,partial,partial_overlap,1009_cluster_EBMT_ALWP_AML
1009,ABMTRR_older_haplo_AMLMDS,national_registry,4,44,11,Abadir,2024,Y,none,NA
1003,Salas_Barcelona,single_center,3,330,9,Salas,2022,partial,partial_overlap,Other Salas Barcelona publications (not in this 10-paper pilot)
1003,Salas_Barcelona,single_center,3,330,335,Salas MQ,2022,partial,partial_overlap,334
1003,Salas_Barcelona,single_center,3,330,338,Salas,2024,partial,partial_overlap,Salas 2022 BSI (cohort 1003 index); other Salas/Charry/Pinto Hospital Clinic Barcelona publications
1008,CIBMTR_MUD_MMUD_Shaffer,CIBMTR,3,10025,10,Shaffer BC,2024,Y,none,NA
1008,CIBMTR_MUD_MMUD_Shaffer,CIBMTR,3,10025,112,Desai N,2026,partial,overlap_subset_of,"Shaffer 2024 (CIBMTR P-5891 dataset, parent publication)"
1008,CIBMTR_MUD_MMUD_Shaffer,CIBMTR,3,10025,246,Mehta RS,2026,N,overlap_subset_of,Shaffer_2024_cohort_1008_primary
1013,PrincessMargaret_Toronto_Michelis,single_center,3,159,24,Alanazi W,2021,Y,partial_overlap,"Possible overlap with Prem 2019, Deotare 2018, Law 2018, Salas 2019 (all Princess Margaret)."
1013,PrincessMargaret_Toronto_Michelis,single_center,3,159,89,Carreira,2022,partial,partial_overlap,"Princess Margaret Toronto cluster (Michelis 2014-2017 AML/MDS subset, Salas 2020 BMT PTCy-ATG-CsA)"
1013,PrincessMargaret_Toronto_Michelis,single_center,3,159,108,Desai N,2024,N,partial_overlap,NR
1023,Barkhordar_Tehran_single_center,single_center,3,248,49,Barkhordar M,2021,Y,partial_overlap,50;51
1023,Barkhordar_Tehran_single_center,single_center,3,248,50,Barkhordar M,2022,partial,none,NR
1023,Barkhordar_Tehran_single_center,single_center,3,248,51,Barkhordar,2022,partial,partial_overlap,"49,50"
1047,PALG_Polish_registry,multicenter_collaboration,3,145,122,Dybko J,2023,partial,partial_overlap,"123,124"
