cohort_id,cohort_label,cohort_size,cohort_n_partial,study_id,first_author,pub_year,primary_for_cohort,overlap_with_study_ids
1024,EBMT_ALWP,31,31,221,Lorentino F,2017,partial,Ruggeri 2017 Haematologica (ref 27) partially overlaps; population overlaps with EBMT ALWP haplo-HSCT studies
1024,EBMT_ALWP,31,31,324,Ruggeri A,2017,partial,NR
1024,EBMT_ALWP,31,31,343,Santoro,2017,partial,EBMT_ALWP_cluster_1024
1024,EBMT_ALWP,31,31,217,Li Z,2018,partial,NR
1024,EBMT_ALWP,31,31,344,Santoro,2018,partial,NR
1024,EBMT_ALWP,31,31,57,Battipaglia,2019,partial,NR
1024,EBMT_ALWP,31,31,60,Battipaglia G,2019,partial,NR
1024,EBMT_ALWP,31,31,77,Brissot E,2019,partial,other EBMT ALWP publications
1024,EBMT_ALWP,31,31,345,Santoro N,2019,partial,EBMT_ALWP_cohort_1024
1024,EBMT_ALWP,31,31,61,Battipaglia G,2020,partial,NR
1024,EBMT_ALWP,31,31,78,Brissot,2020,partial,61
1024,EBMT_ALWP,31,31,232,Al Malki,2020,partial,NR
1024,EBMT_ALWP,31,31,118,Dholaria,2021,partial,NR
1024,EBMT_ALWP,31,31,276,Nagler A,2021,partial,NR
1024,EBMT_ALWP,31,31,277,Nagler A,2021,partial,NR
1024,EBMT_ALWP,31,31,62,Battipaglia G,2022,partial,NR
1024,EBMT_ALWP,31,31,287,Nagler A,2022,partial,other EBMT ALWP papers (cohort 1024)
1024,EBMT_ALWP,31,31,325,Ruggeri A,2022,partial,NR
1024,EBMT_ALWP,31,31,151,Giebel S,2023,partial,EBMT_ALWP_cluster
1024,EBMT_ALWP,31,31,278,Nagler A,2023,partial,NR
1024,EBMT_ALWP,31,31,279,Nagler A,2023,partial,NR
1024,EBMT_ALWP,31,31,52,Baron F,2024,partial,NR
1024,EBMT_ALWP,31,31,63,Bazarbachi,2024,partial,NR
1024,EBMT_ALWP,31,31,79,Brissot E,2024,N,NR
1024,EBMT_ALWP,31,31,280,Nagler A,2024,partial,"EBMT_ALWP cohort 1024 - partial overlap with other EBMT ALWP publications (Ruggeri 2018, Battipaglia 2019, Lorentino 2021, Brissot 2020, Sanz 2020, Battipaglia 2022)"
1024,EBMT_ALWP,31,31,281,Nagler A,2024,partial,NR
1024,EBMT_ALWP,31,31,282,Nagler A,2024,partial,other_EBMT_ALWP_papers
1024,EBMT_ALWP,31,31,305,Paviglianiti A,2024,partial,NR
1024,EBMT_ALWP,31,31,323,Ru Y,2025,partial,NR
1024,EBMT_ALWP,31,31,383,Villalba M,2026,partial,NR
1024,EBMT_ALWP,31,31,384,Vydra,2026,partial,NR
1001,CIBMTR_HaploCy_SibCy_SibCNI,6,3,158,Goldsmith SR,2016,N,"4,8"
1001,CIBMTR_HaploCy_SibCy_SibCNI,6,3,268,Mulroney CM,2021,partial,other_CIBMTR_HaploCy_SibCy_SibCNI_papers
1001,CIBMTR_HaploCy_SibCy_SibCNI,6,3,361,Singh,2022,partial,Goldsmith_2021_CMV_primary
1009,ABMTRR_older_haplo_AMLMDS,4,3,447,Ruggeri A,2018,partial,52;57;60;61;62;63;77;78;79;118;151;217;221;232;276;277;278;279;280;281;282;287;305;323;324;325;343;344;345;383;384
1009,ABMTRR_older_haplo_AMLMDS,4,3,450,Sanz J,2020,partial,1009_cluster_EBMT_ALWP_AML
1009,ABMTRR_older_haplo_AMLMDS,4,3,453,Spyridonidis A,2022,partial,1009_cluster_EBMT_ALWP_AML
1003,Salas_Barcelona,3,3,9,Salas,2022,partial,Other Salas Barcelona publications (not in this 10-paper pilot)
1003,Salas_Barcelona,3,3,335,Salas MQ,2022,partial,334
1003,Salas_Barcelona,3,3,338,Salas,2024,partial,Salas 2022 BSI (cohort 1003 index); other Salas/Charry/Pinto Hospital Clinic Barcelona publications
1013,PrincessMargaret_Toronto_Michelis,3,3,24,Alanazi W,2021,Y,"Possible overlap with Prem 2019, Deotare 2018, Law 2018, Salas 2019 (all Princess Margaret)."
