study_id,study,role,arm_label,n,donor_predominant,donor_msd_pct,donor_mud_pct,donor_mmud_pct,donor_haplo_pct,donor_ucb_pct,disease_aml_pct,enrollment
52,Baron F 2024,comparator,dCBT (double-unit umbilical cord blood),209,UCB,0,0,0,0,100,100,2013-2021
52,Baron F 2024,PTCy,UD 9/10 (PTCy),270,MMUD,0,0,100,0,0,100,2013-2021
118,Dholaria 2021,comparator,"CBT (single or double cord blood, no PTCy)",902,UCB,0,0,0,0,100,100,2010-2019
118,Dholaria 2021,PTCy,MMUD with PTCy (9/10 single-allele MMUD),280,MMUD,0,0,100,0,0,100,2010-2019
287,Nagler A 2022,comparator,CSA/MTX,1202,MSD,100,0,0,0,0,100,2010-2019
287,Nagler A 2022,PTCy,PTCy,118,MSD,100,0,0,0,0,100,2010-2019
281,Nagler A 2024,comparator,ATG/CSA or TAC/MTX,5648,MUD,22.6,61.4,16,0,0,100,2010-2020
281,Nagler A 2024,PTCy,PTCy/CSA or TAC/MMF,402,MUD,19.2,45.3,35.6,0,0,100,2010-2020
325,Ruggeri A 2022,comparator,dUCBT,165,UCB,0,0,0,0,100,100,2013-2018
325,Ruggeri A 2022,PTCy,Haplo-PTCY,544,haplo,0,0,0,100,0,100,2013-2018
