"level","field","n_distinct","pct_complete","type","values"
"studies","study_id",251,100,"numeric",""
"studies","cohort_id",186,100,"text",""
"studies","first_author",199,100,"text",""
"studies","pub_year",12,100,"numeric",""
"studies","journal",68,100,"text",""
"studies","doi",245,99.2,"text",""
"studies","pmid",2,0.8,"numeric","27758817 | 38042256"
"studies","paperpile_filename",249,100,"text",""
"studies","title",247,100,"text",""
"studies","country",36,100,"text",""
"studies","region",6,72.5,"text","Africa | Asia | EU | multinational | Oceania | SA"
"studies","study_design",5,100,"text","prospective_cohort | RCT | registry | retrospective_cohort | single_arm_descriptive_excluded"
"studies","single_or_multicenter",3,100,"text","multi | registry | single"
"studies","n_centers",45,80.5,"numeric",""
"studies","enrollment_start_year",25,98.8,"numeric",""
"studies","enrollment_end_year",14,98.8,"numeric",""
"studies","era_category",3,99.6,"text","mixed | post_2018 | pre_2018"
"studies","follow_up_median_months",112,65.7,"text",""
"studies","follow_up_min_months",50,47,"numeric",""
"studies","follow_up_max_months",100,47,"numeric",""
"studies","primary_for_cohort",3,99.2,"text","N | partial | Y"
"studies","cohort_overlap_status",4,100,"text","none | overlap_subset_of | overlap_superset_of | partial_overlap"
"studies","overlap_with_study_ids",98,39.8,"text",""
"studies","language",2,100,"text","English | translation_obtained"
"studies","full_text_obtainable",1,100,"text","Y"
"studies","author_contact_attempted",1,100,"text","N"
"studies","author_response_received",0,0,"text",""
"studies","extractor_initials",1,100,"text","RL"
"studies","verifier_initials",1,100,"text","PEND"
"studies","extraction_date",3,100,"date","2026-05-26 | 2026-05-27 | 2026-05-29"
"studies","verification_date",1,100,"date","PEND"
"studies","extraction_notes",251,100,"text",""
"cohorts","cohort_id",181,100,"numeric",""
"cohorts","cohort_label",181,100,"text",""
"cohorts","cohort_description",181,100,"text",""
"cohorts","registry_or_source",6,100,"text","CIBMTR | EBMT | JSHCT | multicenter_collaboration | national_registry | single_center"
"cohorts","enrollment_start_year",23,98.9,"numeric",""
"cohorts","enrollment_end_year",14,98.9,"numeric",""
"cohorts","total_unique_patients",157,100,"numeric",""
"cohorts","primary_publication_study_id",181,100,"numeric",""
"cohorts","primary_publication_overrides",6,3.3,"text","Aydin 2023 primary for GvHD/survival/relapse/NRM; Aydin 2022 likely primary for infections/viral reactivations | Baron 2024 is primary for AML CR1 MMUD-PTCy vs dCBT comparison; other EBMT ALWP papers cover different donor strata/outcomes. | BSI outcomes: study_id 9 (Salas 2022 BSI) | IFI_mold:8
IFI_yeast:8
IFI_any:8 | infection outcomes and IRM | primary for HHV-6 reactivation and HHV-6-specific T-cell immunity outcomes"
"cohorts","overlap_notes",179,98.9,"text",""
"arms","arm_id",525,100,"numeric",""
"arms","study_id",229,100,"numeric",""
"arms","arm_label_in_paper",415,100,"text",""
"arms","arm_role",2,100,"text","comparator_arm | PTCy_arm"
"arms","comparison_1_eligible",2,100,"text","N | Y"
"arms","comparison_2_eligible",2,100,"text","N | Y"
"arms","comparison_3_eligible",2,100,"text","N | Y"
"arms","n_patients",280,100,"numeric",""
"arms","pct_male",175,78.7,"numeric",""
"arms","age_median_years",129,86.5,"numeric",""
"arms","age_iqr_low",87,26.3,"numeric",""
"arms","age_iqr_high",73,26.3,"numeric",""
"arms","age_range_min",65,70.5,"numeric",""
"arms","age_range_max",87,70.3,"numeric",""
"arms","age_mean_years",23,4.8,"numeric",""
"arms","age_sd_years",16,3.2,"numeric",""
"arms","disease_aml_pct",172,80.4,"percent",""
"arms","disease_all_pct",156,84,"percent",""
"arms","disease_mds_pct",124,79.2,"percent",""
"arms","disease_mpn_pct",62,67.6,"percent",""
"arms","disease_cml_pct",52,65.1,"percent",""
"arms","disease_lymphoma_pct",109,80,"percent",""
"arms","disease_mm_pct",37,63.8,"percent",""
"arms","disease_cll_pct",30,61.9,"percent",""
"arms","disease_saa_pct",17,61.9,"percent",""
"arms","disease_other_pct",87,79.6,"percent",""
"arms","disease_risk_high_pct",194,58.5,"percent",""
"arms","disease_risk_intermediate_pct",135,38.1,"percent",""
"arms","disease_risk_low_pct",137,46.3,"percent",""
"arms","disease_risk_classifier_used",4,68.6,"text","DRI | EBMT_risk_score | investigator_defined | refined_DRI"
"arms","donor_msd_pct",95,93.9,"percent",""
"arms","donor_mud_pct",118,93.5,"percent",""
"arms","donor_mmud_pct",74,90.7,"percent",""
"arms","donor_haplo_pct",40,95.2,"percent",""
"arms","donor_ucb_pct",5,96,"percent","0 | 100 | 15 | 2 | 37"
"arms","donor_predominant",6,99.2,"text","haplo | mixed | MMUD | MSD | MUD | UCB"
"arms","graft_pbsc_pct",171,85.1,"percent",""
"arms","graft_bm_pct",157,83.2,"percent",""
"arms","graft_ucb_pct",9,94.7,"percent","0 | 10 | 100 | 14 | 15 | 18.5 | 2 | 3.2 | 37"
"arms","graft_predominant",4,93.5,"text","BM | mixed | PBSC | UCB"
"arms","conditioning_mac_pct",218,89,"percent",""
"arms","conditioning_ric_pct",224,85.7,"percent",""
"arms","conditioning_nma_pct",32,63.4,"percent",""
"arms","conditioning_classification_scheme",3,99.4,"text","CIBMTR | EBMT | investigator_defined"
"arms","conditioning_predominant",4,96.4,"text","MAC | mixed | NMA | RIC"
"arms","tbi_used_pct",115,43,"percent",""
"arms","hla_10_10_pct",49,61.5,"percent",""
"arms","hla_9_10_pct",49,61,"percent",""
"arms","hla_8_10_or_lower_pct",15,57,"percent",""
"arms","hla_haplo_pct",41,93.1,"percent",""
"arms","cmv_recipient_pos_pct",144,46.3,"percent",""
"arms","cmv_donor_pos_pct",118,32.4,"percent",""
"arms","cmv_DposRpos_pct",99,28.8,"percent",""
"arms","cmv_DposRneg_pct",73,31.4,"percent",""
"arms","cmv_DnegRpos_pct",104,30.7,"percent",""
"arms","cmv_DnegRneg_pct",96,34.5,"percent",""
"arms","cmv_serostatus_reporting",2,60,"text","DR_combinations | R_only"
"arms","ptcy_used",3,100,"text","mixed | N | Y"
"arms","ptcy_dose_mg_kg_per_dose",12,34.3,"text",""
"arms","ptcy_n_doses",3,34.1,"text","1 | 2 | mixed"
"arms","ptcy_days_post_transplant",25,34.1,"text",""
"arms","ptcy_total_dose_mg_kg",12,33.7,"text",""
"arms","ptcy_dose_category",7,34.3,"text","mixed | other | reduced_25x2 | reduced_40x2 | reduced_other | single_dose | standard_50x2"
"arms","cni_used",3,96,"text","mixed | N | Y"
"arms","cni_agent",4,70.3,"text","cyclosporine | mixed | other | tacrolimus"
"arms","cni_target_trough_ng_ml_range",26,15.2,"text",""
"arms","mmf_used",4,84.2,"text","mixed | N | UNCL | Y"
"arms","mmf_total_daily_dose_mg",31,9.5,"text",""
"arms","mtx_used",3,84.4,"text","mixed | N | Y"
"arms","mtx_schedule",62,14.7,"text",""
"arms","mtx_total_dose_mg_m2",10,9.5,"text","15 mg/kg D+1; 10 mg/kg D+3, D+6 (note: paper reports mg/kg) | 20 | 25 | 28 | 31 | 34 | 35 | 35 or 45 | 45 | 5-15 mg/m2 IV per dose"
"arms","sirolimus_used",3,77.1,"text","mixed | N | Y"
"arms","abatacept_used",2,98.9,"text","N | Y"
"arms","other_immunosuppressant_used",3,76.8,"text","mixed | N | Y"
"arms","other_immunosuppressant_description",113,22.1,"text",""
"arms","atg_used",4,94.9,"text","mixed | N | UNCL | Y"
"arms","atg_agent",5,23.2,"text","horse_ATGAM | mixed | other | rabbit_grafalon_ATLG | rabbit_thymoglobulin"
"arms","atg_total_dose_mg_kg",31,21.5,"text",""
"arms","atg_dose_category",5,24.6,"text","high_gt_10_rabbit_ATLG | horse | low_le_4.5_rabbit | mixed | standard_4.5_to_10_rabbit"
"arms","atg_timing",3,33.1,"text","peri_transplant | post_transplant | pre_transplant"
"arms","letermovir_use",5,41.5,"text","all_patients | era_proxy_only | mixed_spans_era | none | select_high_risk"
"arms","letermovir_era_proxy",3,99.4,"text","mixed_spans_era | post_2018 | pre_2018"
"arms","antifungal_prophylaxis_agent",6,14.9,"text","echinocandin_other | fluconazole | micafungin | mixed | posaconazole | voriconazole"
"arms","antifungal_mold_active",4,15.6,"text","mixed | N | UNCL | Y"
"arms","antifungal_duration_target",19,7.8,"text",""
"arms","antibacterial_prophylaxis_agent",4,14.1,"text","fluoroquinolone | none | other | TMP_SMX_only"
"arms","pjp_prophylaxis_agent",2,13.9,"text","mixed | TMP_SMX"
"arms","cmv_monitoring_method",2,21.7,"text","mixed | PCR_qPCR"
"arms","cmv_monitoring_frequency_per_week",4,17.1,"text","0.5 | 1 | 1-2 | 2"
"arms","cmv_preemptive_threshold",28,12.4,"text",""
"arms","systemic_steroid_for_gvhd_exposure_pct",195,75.8,"percent",""
"arms","steroid_exposure_duration_days_median",0,0,"text",""
"arms","second_line_gvhd_therapy_exposure_pct",15,3.2,"percent",""
"outcomes","outcome_id",3901,100,"numeric",""
"outcomes","arm_id",510,100,"numeric",""
"outcomes","study_id",226,100,"numeric",""
"outcomes","cohort_id",165,100,"numeric",""
"outcomes","outcome_category",15,100,"text",""
"outcomes","outcome_subtype",42,100,"text",""
"outcomes","timepoint",8,100,"text","D+100 | D+1095_3yr | D+180 | D+30 | D+365_1yr | D+730_2yr | end_of_followup | other"
