"study_id","study_label","exclusion_reason","label_complete"
13,"Abedin 2024 (ASH abstract)","Conference abstract",TRUE
18,"Ahmad I 2023","Conference abstract",TRUE
28,"Altareb 2024","Conference abstract",TRUE
1,"Ara 2023","Conference abstract",TRUE
33,"Arslan 2023","Conference abstract",TRUE
36,"Asano-Mori 2014","Conference abstract",TRUE
40,"Aydin 2022","Conference abstract",TRUE
53,"Baron F 2023","Conference abstract",TRUE
58,"Battipaglia 2024","Conference abstract",TRUE
59,"Battipaglia 2024","Conference abstract",TRUE
64,"Bento 2025","Conference abstract",TRUE
68,"Bhatia 2024","Conference abstract",TRUE
76,"Bothara 2025","Conference abstract",TRUE
81,"Bu 2023","Conference abstract",TRUE
85,"Camargo 2021 (TCT abstract #426)","Conference abstract",TRUE
92,"Chalandon 2023","Conference abstract",TRUE
93,"Chalandon 2024","Conference abstract",TRUE
103,"Cioccio 2021","Conference abstract",TRUE
106,"Dachy 2022","Conference abstract",TRUE
409,"de Almeida 2025","Conference abstract",TRUE
415,"Desai N 2025","Conference abstract",TRUE
115,"Desai N 2025 (ASCO abstract 6508)","Conference abstract",TRUE
117,"Devine 2019","Conference abstract",TRUE
125,"Dykes 2025","Conference abstract",TRUE
126,"Eissa 2023","Conference abstract",TRUE
127,"El Cheikh 2015","Conference abstract",TRUE
129,"Elcheikh 2014","Conference abstract",TRUE
131,"Elshamy 2020","Conference abstract",TRUE
145,"Gao 2025 ASH abstract","Conference abstract",TRUE
149,"Giebel S 2022 (EBMT abstract O005)","Conference abstract",TRUE
154,"Girard 2020","Conference abstract",TRUE
157,"Glass 2023","Conference abstract",TRUE
160,"Gooptu 2025","Conference abstract",TRUE
165,"Guare 2024","Conference abstract",TRUE
172,"Harbi 2022","Conference abstract",TRUE
175,"Holtan 2023","Conference abstract",TRUE
176,"Hong J 2023","Conference abstract",TRUE
188,"Jo 2023","Conference abstract",TRUE
190,"Justino 2024","Conference abstract",TRUE
195,"Kanakry 2019 (Abstract 614)","Conference abstract",TRUE
200,"Kerbauy 2023","Conference abstract",TRUE
206,"Koura D 2023","Conference abstract",TRUE
213,"Lazana 2025","Conference abstract",TRUE
214,"Li C 2024","Conference abstract",TRUE
227,"Luznik 2021","Conference abstract",TRUE
239,"Mayo 2025","Conference abstract",TRUE
255,"Mohsen A 2024","Conference abstract",TRUE
259,"Moiseev 2016 update","Conference abstract",TRUE
265,"Moukalled 2024","Conference abstract",TRUE
267,"Mukherjee 2019","Conference abstract",TRUE
269,"Munshi 2025","Conference abstract",TRUE
283,"Nagler 2023 ASH","Conference abstract",TRUE
286,"Nagler 2024","Conference abstract",TRUE
288,"Nagler 2024 TCT abstract #54","Conference abstract",TRUE
294,"Niederwieser C 2022","Conference abstract",TRUE
295,"Nishikubo M 2023","Conference abstract",TRUE
309,"Penack 2023","Conference abstract",TRUE
310,"Penack 2023 (ASH abstract)","Conference abstract",TRUE
315,"Popat 2020","Conference abstract",TRUE
319,"Ranspach 2020","Conference abstract",TRUE
331,"Saha 2024","Conference abstract",TRUE
333,"Salas 2023","Conference abstract",TRUE
339,"Saliba RM 2020","Conference abstract",TRUE
351,"Schriber 2016","Conference abstract",TRUE
355,"Shahzad 2024","Conference abstract",TRUE
362,"Singh AK 2020","Conference abstract",TRUE
114,"Study ID 114","Conference abstract",FALSE
135,"Study ID 135","Conference abstract",FALSE
159,"Study ID 159","Conference abstract",FALSE
17,"Study ID 17","Conference abstract",FALSE
173,"Study ID 173","Conference abstract",FALSE
174,"Study ID 174","Conference abstract",FALSE
179,"Study ID 179","Conference abstract",FALSE
182,"Study ID 182","Conference abstract",FALSE
194,"Study ID 194","Conference abstract",FALSE
199,"Study ID 199","Conference abstract",FALSE
202,"Study ID 202","Conference abstract",FALSE
204,"Study ID 204","Conference abstract",FALSE
21,"Study ID 21","Conference abstract",FALSE
215,"Study ID 215","Conference abstract",FALSE
218,"Study ID 218","Conference abstract",FALSE
222,"Study ID 222","Conference abstract",FALSE
23,"Study ID 23","Conference abstract",FALSE
247,"Study ID 247","Conference abstract",FALSE
27,"Study ID 27","Conference abstract",FALSE
284,"Study ID 284","Conference abstract",FALSE
285,"Study ID 285","Conference abstract",FALSE
29,"Study ID 29","Conference abstract",FALSE
298,"Study ID 298","Conference abstract",FALSE
3,"Study ID 3","Conference abstract",FALSE
316,"Study ID 316","Conference abstract",FALSE
317,"Study ID 317","Conference abstract",FALSE
330,"Study ID 330","Conference abstract",FALSE
