"study_id","first_author","pub_year","country","study_design","single_or_multicenter","enrollment_start_year","enrollment_end_year","follow_up_median_months","primary_for_cohort","cohort_id","total_n","n_arms","comparisons"
11,"Abadir",2024,"Australia/New Zealand","single arm descriptive excluded","multi","2010","2020","12.4","Y","1009",NA,NA,NA
12,"Abedin S",2025,"USA","RCT","multi","2019","2021","NR","N","1002",96,2,"C1"
14,"Abid MB",2020,"USA","single arm descriptive excluded","single","2012","2018","NR","Y","1010",NA,NA,NA
16,"Adoncecchi G",2025,"USA","single arm descriptive excluded","single","2014","2019","11","N","1004",121,2,"none"
19,"Ahmed S",2019,"multinational","registry","registry","2008","2016","NR","Y","1011",596,2,"C1"
20,"Ahn J",2025,"Korea","retrospective cohort","single","2017","2023","14.1","Y","1012",78,2,"C1"
232,"Al Malki",2020,"multinational","retrospective cohort","registry","2005","2018","36","partial","1024",1461,2,"C1"
24,"Alanazi W",2021,"Canada","retrospective cohort","single","2014","2017","29","Y","1013",159,2,"C2"
26,"Alousi",2015,"USA","prospective cohort","single","2008","2011","32","Y","1014",74,2,"C1"
32,"Arora S",2026,"India","single arm descriptive excluded","single","2022","2024","15.5","Y","1015",NA,NA,NA
35,"Arslan",2024,"Germany","registry","registry","2010","2020","NR","Y","1016",7537,2,"C1"
37,"Ashouri K",2024,"USA","retrospective cohort","single","2015","2023","NR","Y","1017",74,3,"C1"
39,"Aydin M",2023,"Netherlands","retrospective cohort","single","2014","2021","NR","partial","1018",185,2,"C2"
43,"Bailen",2021,"Spain","retrospective cohort","multi","2010","2018","NR","Y","1019",132,2,"C2"
44,"Bailen R",2022,"Spain","retrospective cohort","multi","2013","2019","27 (MSD/MUD); 62.5 (haplo)","Y","1020",229,2,"C3"
45,"Baker M",2016,"USA","retrospective cohort","single","2009","2014","33.6","Y","1021",113,2,"C1"
46,"Balletto E",2024,"Italy","single arm descriptive excluded","single","2014","2019","25.7","","NEW_Balletto_2024",NA,NA,NA
