"study_id","arm_id","arm_label_in_paper","arm_role","comparison_1_eligible","comparison_2_eligible","comparison_3_eligible","n_patients","age_median_years","pct_male","disease_aml_pct","disease_all_pct","disease_mds_pct","disease_risk_high_pct","donor_haplo_pct","donor_msd_pct","donor_mud_pct","donor_predominant","graft_predominant","conditioning_mac_pct","conditioning_ric_pct","conditioning_predominant","ptcy_used","ptcy_dose_mg_kg_per_dose","ptcy_total_dose_mg_kg","cni_agent","mmf_used","mtx_used","sirolimus_used","atg_used","atg_agent","atg_total_dose_mg_kg","cmv_recipient_pos_pct","systemic_steroid_for_gvhd_exposure_pct","first_author","pub_year"
12,24,"Tac/MTX","comparator_arm","Y","N","N",53,"73","67.9","54.7","3.8","34","32.1","0","15.1","83","MUD","PBSC","0","100","RIC","N","","","tacrolimus","N","Y","N","N","","","NR","37.1","Abedin S",2025
12,23,"PTCy/Tac/MMF","PTCy_arm","Y","N","N",43,"72","60.5","60.5","0","34.9","37.2","0","11.6","86","MUD","PBSC","0","100","RIC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","58.1","Abedin S",2025
16,25,"Haplo PBSCT + PTCy, age >=60","PTCy_arm","N","N","N",55,"66","67","56","2","NR","13","100","0","0","haplo","PBSC","27","73","RIC","Y","50","100","mixed","mixed","N","mixed","N","","","69","NR","Adoncecchi G",2025
16,26,"Haplo PBSCT + PTCy, age <60","PTCy_arm","N","N","N",66,"42","61","44","30","NR","29","100","0","0","haplo","PBSC","83","17","MAC","Y","50","100","mixed","mixed","N","mixed","N","","","70","NR","Adoncecchi G",2025
19,28,"MSD/CNI","comparator_arm","Y","N","N",457,"33","56","0","0","0","NR","0","100","0","MSD","PBSC","0","70","RIC","N","","","NR","mixed","mixed","NR","Y","NR","NR","NR","30","Ahmed S",2019
19,27,"Haplo/PTCy","PTCy_arm","Y","N","N",139,"33","58","0","0","0","NR","100","0","0","haplo","BM","0","10","NMA","Y","NR","NR","NR","Y","N","NR","N","","","NR","45","Ahmed S",2019
20,30,"FB + ATG (historical control)","comparator_arm","Y","N","N",52,"48","51.9","0","100","0","NR","100","0","0","haplo","PBSC","0","100","RIC","N","","","tacrolimus","N","Y","N","Y","rabbit_thymoglobulin","6","94.2","NR","Ahn J",2025
20,29,"FMTBI + ATG/PTCy","PTCy_arm","Y","N","N",26,"59","53.8","0","100","0","NR","100","0","0","haplo","PBSC","0","100","RIC","Y","30","60","tacrolimus","Y","N","N","Y","rabbit_thymoglobulin","4.5","100","NR","Ahn J",2025
232,232,"MUD (8/8 matched unrelated donor with CNI-based prophylaxis +/- ATG)","comparator_arm","Y","N","N",974,"36","62.2","0","100","0","33.5","0","0","100","MUD","PBSC","73.5","26.5","MAC","N","","","NR","Y","Y","Y","Y","NR","NR","58","33","Al Malki",2020
232,231,"Haplo (HaploHCT with PTCy)","PTCy_arm","Y","N","N",487,"33","62.2","0","100","0","33.5","100","0","0","haplo","mixed","73.5","26.5","MAC","Y","50","100","NR","Y","N","N","N","","","79.5","32","Al Malki",2020
24,32,"Other GvHD prophylaxis regimens","comparator_arm","N","Y","N",90,"NR","NR","NR","0","NR","100","NR","NR","NR","mixed","PBSC","63","37","MAC","N","","","cyclosporine","mixed","mixed","N","mixed","NR","NR","NR","58.9","Alanazi W",2021
24,31,"ATG + PTCy combination","PTCy_arm","N","Y","N",69,"NR","NR","NR","0","NR","100","NR","NR","NR","mixed","PBSC","0","100","RIC","Y","50","100","cyclosporine","N","N","N","Y","NR","4.5","NR","21.7","Alanazi W",2021
26,34,"Tacrolimus + MTX matched control","comparator_arm","Y","N","N",37,"62","59.5","81","2.7","NR","NR","0","40.5","59.5","MUD","PBSC","0","100","RIC","N","","","tacrolimus","N","Y","N","mixed","NR","NR","NR","19","Alousi",2015
26,33,"Post-CY (matched subset)","PTCy_arm","Y","N","N",37,"61","56.8","81","2.7","NR","NR","0","40.5","59.5","MUD","BM","0","100","RIC","Y","50","100","","N","N","N","mixed","NR","4","NR","46","Alousi",2015
35,36,"10/10 MUD + ATG","comparator_arm","Y","N","N",7050,"NR","NR","41.5","8.2","24.3","34.6","0","0","100","MUD","PBSC","52.6","47.4","MAC","N","","","NR","Y","Y","NR","Y","other","NR","55.5","27.3","Arslan",2024
35,35,"PT-CY Haplo","PTCy_arm","Y","N","N",487,"NR","NR","47.8","11.7","15.2","34.3","100","0","0","haplo","PBSC","59.5","40.5","MAC","Y","NR","NR","NR","Y","N","NR","N","","","65.7","39.2","Arslan",2024
37,37,"MTX/TAC","comparator_arm","Y","N","N",25,"44","52","20","68","4","NR","0","68","32","MSD","PBSC","80","20","MAC","N","","","tacrolimus","N","Y","N","NR","NR","NR","NR","NR","Ashouri K",2024
37,38,"PTCy/MMF/TAC","PTCy_arm","Y","N","N",40,"49","42.5","52.5","30","10","NR","0","47.5","52.5","mixed","PBSC","67.5","32.5","MAC","Y","50","100","tacrolimus","Y","N","N","NR","NR","NR","NR","NR","Ashouri K",2024
37,39,"PTCy alone","PTCy_arm","Y","N","N",9,"43","44.4","33.3","55.6","11.1","NR","0","100","0","MSD","BM","100","0","MAC","Y","50","100","","N","N","N","NR","NR","NR","NR","NR","Ashouri K",2024
39,40,"ATG","comparator_arm","N","Y","N",95,"60","NR","50","6","16","60","0","0","100","MUD","PBSC","0","0","NMA","N","","","cyclosporine","Y","N","N","Y","rabbit_thymoglobulin","8","54","48","Aydin M",2023
39,41,"PTCy","PTCy_arm","N","Y","N",90,"57","NR","43","12","17","52","0","0","100","MUD","PBSC","0","0","NMA","Y","50","100","cyclosporine","N","N","N","N","","","46","21","Aydin M",2023
43,43,"ATG group","comparator_arm","N","Y","N",60,"42","62","NR","22","NR","25","0","0","82","MUD","PBSC","68","32","MAC","N","","","cyclosporine","N","Y","N","Y","rabbit_thymoglobulin","mixed","NR","67","Bailen",2021
43,42,"PTCy group","PTCy_arm","N","Y","N",72,"44","57","NR","25","NR","24","0","0","87","MUD","PBSC","63","37","MAC","Y","50","100","mixed","Y","N","Y","N","","","NR","46","Bailen",2021
44,45,"Haplo","comparator_arm","N","N","Y",130,"51","59","100","0","0","67","100","0","0","haplo","PBSC","55","45","MAC","Y","50","100","other","Y","N","N","N","","","81","47","Bailen R",2022
44,44,"MSD/MUD","PTCy_arm","N","N","Y",99,"50","53","100","0","0","32","0","38.4","61.6","MUD","PBSC","64","36","MAC","Y","50","100","other","Y","N","Y","N","","","77","14","Bailen R",2022
45,47,"URD","comparator_arm","Y","N","N",59,"57","50.8","NR","NR","NR","51","0","0","61","MUD","PBSC","NR","NR","mixed","N","","","tacrolimus","Y","Y","N","Y","rabbit_thymoglobulin","4-6 mg/kg in divided doses","62","53","Baker M",2016
45,46,"HAPLO","PTCy_arm","Y","N","N",54,"50.5","50","NR","NR","NR","44","100","0","0","haplo","mixed","0","100","RIC","Y","50","100","tacrolimus","Y","N","N","N","","","63","63","Baker M",2016
48,49,"MTX","comparator_arm","Y","N","N",375,"59.9","58.4","35.2","13.6","20.5","20.5","NR","NR","NR","mixed","PBSC","43.2","56.8","mixed","N","","","tacrolimus","NR","Y","NR","NR","NR","NR","NR","NR","Baranwal",2025
48,48,"PTCy","PTCy_arm","Y","N","N",125,"60.8","60.8","37.6","13.6","17.6","32.8","NR","NR","NR","mixed","PBSC","21.6","78.4","RIC","Y","NR","NR","tacrolimus","NR","N","NR","NR","NR","NR","NR","NR","Baranwal",2025
51,57,"ATG (standard)","comparator_arm","Y","N","N",40,"23","NR","60","40","0","56.7","100","0","0","haplo","PBSC","100","0","MAC","N","","","cyclosporine","N","Y","N","Y","rabbit_thymoglobulin","10","97","57.5","Barkhordar",2022
51,56,"ATG + PTCy","PTCy_arm","Y","N","N",78,"27.5","NR","69.23","30.77","0","47.3","100","0","0","haplo","PBSC","100","0","MAC","Y","40","80","cyclosporine","N","N","N","Y","rabbit_thymoglobulin","7.5","83","34.6","Barkhordar",2022
49,51,"10/10 Matched Unrelated Donor (MUD 10/10)","comparator_arm","Y","Y","N",91,"19","NR","55","45","0","NR","0","0","100","MUD","NR","NR","NR","MAC","N","","","cyclosporine","N","Y","N","Y","rabbit_thymoglobulin","5","NR","52","Barkhordar M",2021
49,52,"9/10 Mismatched Unrelated Donor (MMUD 9/10)","comparator_arm","N","N","N",21,"20","NR","33","66","0","NR","0","0","0","MMUD","NR","NR","NR","MAC","N","","","cyclosporine","N","Y","N","Y","rabbit_thymoglobulin","7.5","NR","52","Barkhordar M",2021
49,53,"9/10 Mismatched Related Donor (MMRD 9/10)","comparator_arm","N","N","N",18,"23","NR","66","33","0","NR","0","0","0","MMUD","NR","NR","NR","MAC","N","","","cyclosporine","N","Y","N","Y","rabbit_thymoglobulin","5","NR","76","Barkhordar M",2021
49,50,"Haploidentical (haplo-HSCT)","PTCy_arm","Y","Y","N",118,"26","NR","64","35","0","NR","100","0","0","haplo","NR","NR","NR","MAC","Y","40","80","cyclosporine","N","N","N","Y","rabbit_thymoglobulin","7.5","NR","58","Barkhordar M",2021
50,55,"ATG (standard ATG-based regimen)","comparator_arm","Y","N","N",40,"23","NR","60","40","0","56.7","100","0","0","haplo","PBSC","100","0","MAC","N","","","cyclosporine","N","Y","N","Y","rabbit_thymoglobulin","10","97","57.5","Barkhordar M",2022
50,54,"ATG + PTCy (modified combination)","PTCy_arm","Y","N","N",78,"27.5","NR","69.23","30.77","0","47.3","100","0","0","haplo","PBSC","100","0","MAC","Y","40","80","cyclosporine","N","N","N","Y","rabbit_thymoglobulin","7.5","83","34.6","Barkhordar M",2022
52,59,"dCBT (double-unit umbilical cord blood)","comparator_arm","Y","N","N",209,"55.6","51.7","100","0","0","25.4","0","0","0","UCB","UCB","20.6","79.4","RIC","N","","","mixed","Y","Y","N","N","","","61.4","44.4","Baron F",2024
52,58,"UD 9/10 (PTCy)","PTCy_arm","Y","N","N",270,"54.9","55.9","100","0","0","19.3","0","0","0","MMUD","PBSC","50.7","49.3","MAC","Y","NR","NR","mixed","Y","Y","Y","N","","","73.2","29.2","Baron F",2024
55,61,"Matched related donor (MRD) with Tac/MTX","comparator_arm","Y","N","N",37,"63","54","62","0","38","35","0","100","0","MSD","PBSC","32","68","RIC","N","","","tacrolimus","N","Y","N","N","","","73","27","Bashey ZA",2018
55,62,"Matched unrelated donor (MUD) with Tac/MTX","comparator_arm","Y","N","N",57,"65","63","60","0","40","37","0","0","100","MUD","PBSC","30","70","RIC","N","","","tacrolimus","N","Y","N","mixed","rabbit_thymoglobulin","4.5","76","37","Bashey ZA",2018
55,60,"Haploidentical donor (HID) with post-transplant cyclophosphamide","PTCy_arm","Y","N","N",33,"66","52","55","0","45","45","100","0","0","haplo","mixed","6","94","RIC","Y","50","100","tacrolimus","Y","N","N","N","","","72","39","Bashey ZA",2018
57,64,"HLA-id sibling (HLA-identical sibling donor)","comparator_arm","Y","N","N",1654,"52","55.7","100","0","0","11","0","100","0","MSD","PBSC","57","43","mixed","N","","","cyclosporine","Y","Y","Y","Y","rabbit_thymoglobulin","NR","70","27","Battipaglia",2019
57,63,"Haplo (haploidentical family donor, unmanipulated)","PTCy_arm","Y","N","N",389,"52","54.8","100","0","0","21","100","0","0","haplo","mixed","50","50","mixed","Y","NR","NR","mixed","Y","NR","Y","Y","rabbit_thymoglobulin","NR","82","28","Battipaglia",2019
60,66,"ATG","comparator_arm","N","Y","N",179,"53","55","100","0","0","NR","0","0","0","MMUD","PBSC","50","50","mixed","N","","","mixed","Y","Y","NR","Y","mixed","thymoglobulin median 6 (range 2.5-15); Grafalon/Fresenius median 30 (range 17-60)","45","32","Battipaglia G",2019
60,65,"PTCY","PTCy_arm","N","Y","N",93,"51","40","100","0","0","NR","0","0","0","MMUD","PBSC","50","50","mixed","Y","NR","NR","mixed","Y","Y","NR","N","","","45","30","Battipaglia G",2019
61,68,"ATG","comparator_arm","N","Y","N",1913,"54","53","100","0","0","19","0","100","0","MSD","PBSC","48","52","RIC","N","","","cyclosporine","Y","Y","NR","Y","mixed","NR","64","17","Battipaglia G",2020
61,67,"PTCY","PTCy_arm","N","Y","N",197,"47","55","100","0","0","15","0","100","0","MSD","PBSC","59","41","MAC","Y","NR","NR","cyclosporine","Y","Y","NR","N","","","71","19","Battipaglia G",2020
62,69,"PTCy","comparator_arm","N","N","Y",374,"56","60","100","0","0","NR","100","0","0","haplo","PBSC","43","57","RIC","Y","NR","NR","cyclosporine","Y","N","N","N","","","74","34","Battipaglia G",2022
62,70,"ATG+PTCy","PTCy_arm","N","N","Y",67,"56","49.3","100","0","0","NR","100","0","0","haplo","PBSC","39","61","RIC","Y","NR","NR","cyclosporine","Y","N","N","Y","NR","mixed (2.5 in 22 pts; 5 in 28; 7.5 in 2; 10 in 8; missing in 7)","66","30","Battipaglia G",2022
63,72,"ATG","comparator_arm","N","Y","N",358,"48.1","55.9","100","0","0","13.4","100","0","0","haplo","PBSC","57.3","42.7","MAC","N","","","other","Y","Y","Y","Y","mixed","NR","79.5","30.4","Bazarbachi",2024
63,71,"PTCy","PTCy_arm","N","Y","N",2999,"54.6","56.9","100","0","0","19.3","100","0","0","haplo","PBSC","48.3","51.7","mixed","Y","NR","NR","other","Y","N","N","N","","","79.2","27.5","Bazarbachi",2024
63,73,"PTCy + ATG","PTCy_arm","N","N","N",292,"50.2","56.2","100","0","0","20.2","100","0","0","haplo","PBSC","47.6","52.4","mixed","Y","NR","NR","other","Y","N","N","Y","rabbit_thymoglobulin","NR","75.1","19.6","Bazarbachi",2024
65,74,"CSA+MTX+ATG","comparator_arm","Y","N","N",39,"NR","61.5","48.7","20.5","12.8","25.6","0","0","0","MMUD","PBSC","79.5","20.5","MAC","N","","","cyclosporine","N","Y","N","Y","rabbit_thymoglobulin","7.5","NR","39","Berger M",2022
65,75,"Tacrolimus+MMF+PTCy","PTCy_arm","Y","N","N",40,"NR","62.5","45","15","5","37.5","0","0","0","MMUD","PBSC","95","5","MAC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","7","Berger M",2022
66,77,"ATG","comparator_arm","N","Y","N",28,"NR","NR","NR","NR","NR","NR","0","0","NR","MUD","PBSC","NR","NR","MAC","N","","","tacrolimus","N","Y","N","Y","rabbit_thymoglobulin","NR","NR","50","Berro M",2021
66,76,"PTCy","PTCy_arm","N","Y","N",28,"NR","NR","NR","NR","NR","NR","0","0","NR","MUD","PBSC","NR","NR","MAC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","25","Berro M",2021
67,79,"non-Cy","comparator_arm","Y","N","N",20,"73","NR","35","NR","40","55","0","NR","100","MUD","NR","NR","NR","NR","N","","","mixed","Y","N","Y","Y","horse_ATGAM","60","NR","NR","Bhatia",2026
67,78,"PTCy","PTCy_arm","Y","N","N",41,"75","NR","46","NR","24","22","29","NR","63","mixed","NR","NR","68","RIC","Y","50","100","mixed","Y","N","Y","Y","rabbit_thymoglobulin","1","NR","NR","Bhatia",2026
71,81,"MRD","comparator_arm","Y","N","N",47,"62","61","30","8","10","25","0","100","0","MSD","PBSC","0","100","RIC","N","","","cyclosporine","N","N","N","Y","rabbit_thymoglobulin","5","74","21","Blaise D",2016
71,82,"UD","comparator_arm","Y","N","N",63,"64","48","29","8","19","27","0","0","79.4","MUD","PBSC","0","100","RIC","N","","","cyclosporine","Y","N","N","Y","rabbit_thymoglobulin","5","28","44","Blaise D",2016
71,80,"Haplo","PTCy_arm","Y","N","N",31,"62","55","32","3","16","35","100","0","0","haplo","PBSC","0","32","NMA","Y","50","100","cyclosporine","Y","N","N","N","","","61","23","Blaise D",2016
72,84,"TAC/MTX/Bortezomib","comparator_arm","N","N","N",89,"64","65.2","51.7","13.5","18","19.1","0","32.6","59.6","MUD","PBSC","0","100","RIC","N","","","tacrolimus","N","Y","N","N","","","NR","26","Bolanos-Meade J",2019
72,85,"TAC/MTX/Maraviroc","comparator_arm","N","N","N",92,"64","59.8","53.3","12","16.3","20.7","0","35.9","52.2","MUD","PBSC","0","100","RIC","N","","","tacrolimus","N","Y","N","N","","","NR","32","Bolanos-Meade J",2019
72,86,"TAC/MTX (controls)","comparator_arm","Y","N","N",224,"64","57.6","52.2","6.3","29.5","22.3","0","39.7","53.1","MUD","PBSC","0","100","RIC","N","","","tacrolimus","N","Y","N","N","","","NR","30","Bolanos-Meade J",2019
72,83,"TAC/MMF/PTCy","PTCy_arm","Y","N","N",92,"64","67.4","53.3","8.7","18.5","18.5","0","31.5","54.3","MUD","PBSC","0","100","RIC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","27","Bolanos-Meade J",2019
2,2,"Standard prophylaxis (tacrolimus-methotrexate; Tac/MTX)","comparator_arm","Y","N","N",217,"NR","58.1","46.1","12.4","30","NR","0","31.3","65","MUD","PBSC","0","100","RIC","N","","","tacrolimus","N","Y","N","N","","","NR","NR","Bolanos-Meade J",2023
2,1,"Experimental prophylaxis (cyclophosphamide-tacrolimus-mycophenolate mofetil; PTCy/Tac/MMF)","PTCy_arm","Y","N","N",214,"NR","62.6","50","5.6","29.4","NR","0","28","68.7","MUD","PBSC","0","100","RIC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","NR","Bolanos-Meade J",2023
75,88,"HD-ATG","comparator_arm","N","Y","N",93,"NR","66.7","34.4","24.8","7.5","29","0","0","0","MMUD","PBSC","43","57","RIC","N","","","cyclosporine","Y","Y","N","Y","mixed","NR","58.1","52.8","Bordat J",2026
75,89,"LD-ATG","comparator_arm","N","Y","N",21,"NR","57.1","57.1","9.5","14.3","33.3","0","0","0","MMUD","PBSC","42.9","57.1","RIC","N","","","cyclosporine","Y","N","N","Y","mixed","NR","57.2","47.6","Bordat J",2026
75,87,"PTCY","PTCy_arm","N","Y","N",41,"NR","53.7","46.3","7.3","26.8","29.3","0","0","0","MMUD","PBSC","46.4","53.7","RIC","Y","50","100","cyclosporine","Y","N","N","N","","","63.5","65.9","Bordat J",2026
78,94,"ATG","comparator_arm","N","Y","N",1452,"56","52.27","100","0","0","20.04","0","0","100","MUD","PBSC","47.31","52.69","RIC","N","","","NR","NR","NR","NR","Y","rabbit_thymoglobulin","5","65.08","29.2","Brissot",2020
78,93,"PTCY","PTCy_arm","N","Y","N",174,"46","56.32","100","0","0","20.11","0","0","100","MUD","PBSC","43.68","56.32","RIC","Y","NR","NR","NR","NR","NR","NR","N","","","74.85","28.8","Brissot",2020
77,91,"UD 10/10","comparator_arm","Y","N","N",1111,"52.4","52.9","100","0","0","30","0","0","100","MUD","PBSC","41.9","34.3","mixed","N","","","mixed","Y","Y","NR","mixed","NR","NR","63.3","30.6","Brissot E",2019
77,92,"UD 9/10","comparator_arm","Y","N","N",383,"51.7","54.6","100","0","0","29.8","0","0","0","MMUD","PBSC","37.7","33.5","mixed","N","","","mixed","Y","Y","NR","mixed","NR","NR","65.4","36.3","Brissot E",2019
