PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37120352","Does PTCY increase the risk of infections?","Mikulska M, Bartalucci C, Raiola AM, Oltolini C.","Blood Rev. 2023 Nov;62:101092. doi: 10.1016/j.blre.2023.101092. Epub 2023 Apr 20.","Mikulska M","Blood Rev","2023","2023/04/29","","","10.1016/j.blre.2023.101092"
"38657278","Younger unrelated donors may be preferable over HLA match in the PTCy era: a study from the ALWP of the EBMT","Sanz J, Labopin M, Choi G, Kulagin A, Peccatori J, Vydra J, Reményi P, Versluis J, Rovira M, Blaise D, Labussière-Wallet H, Montoro J, Sica S, Meijer E, Itälä-Remes M, Schaap N, Bulabois CE, Piemontese S, Mohty M, Ciceri F.","Blood. 2024 Jun 13;143(24):2534-2543. doi: 10.1182/blood.2023023697.","Sanz J","Blood","2024","2024/04/24","","","10.1182/blood.2023023697"
"32343796","Haploidentical BMT for severe aplastic anemia with intensive GVHD prophylaxis including posttransplant cyclophosphamide","DeZern AE, Zahurak ML, Symons HJ, Cooke KR, Rosner GL, Gladstone DE, Huff CA, Swinnen LJ, Imus P, Borrello I, Wagner-Johnston N, Ambinder RF, Luznik L, Bolaños-Meade J, Fuchs EJ, Jones RJ, Brodsky RA.","Blood Adv. 2020 Apr 28;4(8):1770-1779. doi: 10.1182/bloodadvances.2020001729.","DeZern AE","Blood Adv","2020","2020/04/29","PMC7189283","","10.1182/bloodadvances.2020001729"
"40488825","Optimal GVHD Prophylaxis","Elmariah H, Bolaños-Meade J.","Adv Exp Med Biol. 2025;1475:77-102. doi: 10.1007/978-3-031-84988-6_5.","Elmariah H","Adv Exp Med Biol","2025","2025/06/09","","","10.1007/978-3-031-84988-6_5"
"37935091","Explorations of post-gDLI low-dose cyclophosphamide for preventing severe aGVHD","Chen X, Zheng X, Lu N, Zhang R, Zhai W, Ma Q, Pang A, Yang D, Wei J, He Y, Feng S, Han M, Jiang E.","Int Immunopharmacol. 2023 Dec;125(Pt A):111165. doi: 10.1016/j.intimp.2023.111165. Epub 2023 Nov 5.","Chen X","Int Immunopharmacol","2023","2023/11/07","","","10.1016/j.intimp.2023.111165"
"38493482","An international learning collaborative phase 2 trial for haploidentical bone marrow transplant in sickle cell disease","Kassim AA, de la Fuente J, Nur E, Wilkerson KL, Alahmari AD, Seber A, Bonfim C, Simões BP, Alzahrani M, Eckrich MJ, Horn B, Hanna R, Dhedin N, Rangarajan HG, Gouveia RV, Almohareb F, Aljurf M, Essa M, Alahmari B, Gatwood K, Connelly JA, Dovern E, Rodeghier M, DeBaun MR.","Blood. 2024 Jun 20;143(25):2654-2665. doi: 10.1182/blood.2023023301.","Kassim AA","Blood","2024","2024/03/17","","","10.1182/blood.2023023301"
"40596499","A comparative study of GVHD prophylaxis using low dose ATG versus PTCy for PBSCT based on two independent prospective cohorts","Shiratori S, Sugita J, Ishikawa J, Kuroha T, Mori Y, Eto T, Kasahara S, Fukushima K, Harada M, Teshima T.","Sci Rep. 2025 Jul 1;15(1):20677. doi: 10.1038/s41598-025-07263-4.","Shiratori S","Sci Rep","2025","2025/07/02","PMC12216378","","10.1038/s41598-025-07263-4"
"34855460","Randomized Phase III BMT CTN Trial of Calcineurin Inhibitor-Free Chronic Graft-Versus-Host Disease Interventions in Myeloablative Hematopoietic Cell Transplantation for Hematologic Malignancies","Luznik L, Pasquini MC, Logan B, Soiffer RJ, Wu J, Devine SM, Geller N, Giralt S, Heslop HE, Horowitz MM, Jones RJ, Litzow MR, Mendizabal A, Muffly L, Nemecek ER, O'Donnell L, O'Reilly RJ, Palencia R, Schetelig J, Shune L, Solomon SR, Vasu S, Ho VT, Perales MA.","J Clin Oncol. 2022 Feb 1;40(4):356-368. doi: 10.1200/JCO.21.02293. Epub 2021 Dec 2.","Luznik L","J Clin Oncol","2022","2021/12/02","PMC8797487","","10.1200/JCO.21.02293"
"29987350","Haplo-identical allografting with post-transplant cyclophosphamide in high-risk patients","Brunello L, Passera R, Dellacasa CM, Giaccone L, Audisio E, Ferrero D, D'Ardia S, Allione B, Aydin S, Festuccia M, Lia G, Crisà E, Maffini E, Butera S, Busca A, Bruno B.","Ann Hematol. 2018 Nov;97(11):2205-2215. doi: 10.1007/s00277-018-3433-3. Epub 2018 Jul 9.","Brunello L","Ann Hematol","2018","2018/07/11","","","10.1007/s00277-018-3433-3"
"37257193","Prospective PTCTC trial of myeloablative haplo-BMT with posttransplant cyclophosphamide for pediatric acute leukemias","Fierro-Pineda JC, Tsai HL, Blackford A, Cluster A, Caywood E, Dalal J, Davis J, Egeler M, Huo J, Hudspeth M, Keating A, Kelly SS, Krueger J, Lee D, Lehmann L, Madden L, Oshrine B, Pulsipher MA, Fry T, Symons HJ.","Blood Adv. 2023 Sep 26;7(18):5639-5648. doi: 10.1182/bloodadvances.2023010281.","Fierro-Pineda JC","Blood Adv","2023","2023/05/31","PMC10546347","","10.1182/bloodadvances.2023010281"
